Drug_Pair,Gene_Pair,Phenotype_Essentiality,Phenotype_Safety,Number_Genes,Drugs1,Drugs2
Tolbutamide;Moexipril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Tolbutamide,Moexipril
Quinapril;Ramipril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Quinapril,Ramipril
Aminolevulinic acid;Levodopa,{'SLC15A2;SLC15A1'},13.0,0.0,1,Aminolevulinic acid,Levodopa
Aminolevulinic acid;Lisdexamfetamine,{'SLC15A2;SLC15A1'},13.0,0.0,1,Aminolevulinic acid,Lisdexamfetamine
Aminolevulinic acid;Lisinopril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Aminolevulinic acid,Lisinopril
Aminolevulinic acid;Methotrexate,{'SLC15A2;SLC15A1'},13.0,0.0,1,Aminolevulinic acid,Methotrexate
Aminolevulinic acid;Methyldopa,{'SLC15A2;SLC15A1'},13.0,0.0,1,Aminolevulinic acid,Methyldopa
Aminolevulinic acid;Midodrine,{'SLC15A2;SLC15A1'},13.0,0.0,1,Aminolevulinic acid,Midodrine
Valaciclovir;Azidocillin,{'SLC15A2;SLC15A1'},13.0,0.0,1,Valaciclovir,Azidocillin
Valaciclovir;Aminolevulinic acid,{'SLC15A2;SLC15A1'},13.0,0.0,1,Valaciclovir,Aminolevulinic acid
Aminolevulinic acid;Moexipril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Aminolevulinic acid,Moexipril
Quinapril;Valganciclovir,{'SLC15A2;SLC15A1'},13.0,0.0,1,Quinapril,Valganciclovir
Quinapril;Valaciclovir,{'SLC15A2;SLC15A1'},13.0,0.0,1,Quinapril,Valaciclovir
Quinapril;Ubenimex,{'SLC15A2;SLC15A1'},13.0,0.0,1,Quinapril,Ubenimex
Quinapril;Trandolapril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Quinapril,Trandolapril
Quinapril;Temocapril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Quinapril,Temocapril
Quinapril;Taurine,{'SLC15A2;SLC15A1'},13.0,0.0,1,Quinapril,Taurine
Aminolevulinic acid;Glyburide,{'SLC15A2;SLC15A1'},13.0,0.0,1,Aminolevulinic acid,Glyburide
Aminolevulinic acid;Fluvastatin,{'SLC15A2;SLC15A1'},13.0,0.0,1,Aminolevulinic acid,Fluvastatin
