,Gene1,Gene2,Series,RECON,Experiment_Freq,Safety_Ratio,Gene1_Symbol,Gene2_Symbol
0,54675,11212,"['CALU3_12H', 'CALU3_24H', 'CALU3_4H', 'CALU3_8H', 'H1299_12H', 'H1299_24H', 'H1299_36H', 'H1299_4H', 'S1', 'S16', 'S2', 'S5', 'S6', 'S7']","['2', '3', '2', '3', '2', '3', '2', '3', '2', '3', '2', '3', '2', '3', '2', '3', '2', '3', '2', '3', '2', '2', '3', '2', '2', '3']",26,10,CRLS1,PLPBP
1,259230,11212,"['CALU3_12H', 'CALU3_24H', 'CALU3_4H', 'CALU3_8H', 'H1299_12H', 'H1299_24H', 'H1299_36H', 'H1299_4H', 'S1', 'S16', 'S2', 'S5', 'S6', 'S7']","['2', '3', '2', '2', '3', '2', '3', '2', '3', '2', '3', '2', '3', '2', '3', '2', '2', '3', '2', '2', '3', '2', '2', '3']",24,9,SGMS1,PLPBP
2,6241,50484,"['CALU3_12H', 'CALU3_24H', 'CALU3_4H', 'CALU3_8H', 'H1299_12H', 'H1299_24H', 'H1299_36H', 'H1299_4H', 'S1', 'S16', 'S2', 'S5', 'S6', 'S7']","['2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2']",14,0,RRM2,RRM2B
3,6240,50484,"['CALU3_12H', 'CALU3_24H', 'CALU3_4H', 'CALU3_8H', 'H1299_12H', 'H1299_24H', 'H1299_36H', 'H1299_4H', 'S1', 'S16', 'S2', 'S5', 'S6', 'S7']","['2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2']",14,0,RRM1,RRM2B
4,6565,6564,"['CALU3_12H', 'CALU3_24H', 'CALU3_4H', 'CALU3_8H', 'H1299_12H', 'H1299_24H', 'H1299_36H', 'H1299_4H', 'S16', 'S2', 'S5', 'S6', 'S7']","['3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3']",13,0,SLC15A2,SLC15A1
5,60386,1841,"['CALU3_12H', 'CALU3_24H', 'CALU3_4H', 'CALU3_8H', 'H1299_12H', 'H1299_24H', 'H1299_36H', 'H1299_4H', 'S1', 'S16', 'S2', 'S6', 'S7']","['2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2']",13,0,SLC25A19,DTYMK
6,51477,11212,"['CALU3_12H', 'CALU3_24H', 'CALU3_4H', 'CALU3_8H', 'H1299_12H', 'H1299_24H', 'H1299_36H', 'H1299_4H', 'S5']","['2', '3', '2', '3', '3', '3', '3', '3', '3', '3', '3']",11,2,ISYNA1,PLPBP
7,11212,10999,"['CALU3_12H', 'CALU3_24H', 'CALU3_4H', 'CALU3_8H', 'H1299_12H', 'H1299_24H', 'H1299_36H', 'H1299_4H', 'S1', 'S6', 'S7']","['2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2']",11,4,PLPBP,SLC27A4
8,6241,2987,"['H1299_12H', 'H1299_24H', 'H1299_36H', 'H1299_4H', 'S2']","['2', '3', '2', '3', '2', '3', '2', '3', '2', '3']",10,0,RRM2,GUK1
9,114134,51477,"['CALU3_8H', 'H1299_12H', 'H1299_24H', 'H1299_36H', 'H1299_4H', 'S5', 'S6', 'S7']","['2', '2', '2', '2', '2', '2', '2', '3', '2', '3']",10,3,SLC2A13,ISYNA1
10,6240,2987,"['H1299_12H', 'H1299_24H', 'H1299_36H', 'H1299_4H', 'S2']","['2', '3', '2', '3', '2', '3', '2', '3', '2', '3']",10,0,RRM1,GUK1
11,2987,50484,"['H1299_12H', 'H1299_24H', 'H1299_36H', 'H1299_4H', 'S2']","['2', '3', '2', '3', '2', '3', '2', '3', '2', '3']",10,0,GUK1,RRM2B
12,2987,60386,"['H1299_12H', 'H1299_24H', 'H1299_36H', 'H1299_4H', 'S2']","['2', '3', '2', '3', '2', '3', '2', '3', '2', '3']",10,0,GUK1,SLC25A19
13,2987,4860,"['H1299_12H', 'H1299_24H', 'H1299_36H', 'H1299_4H']","['2', '3', '2', '3', '2', '3', '2', '3']",8,0,GUK1,PNP
14,3177,54675,"['CALU3_12H', 'CALU3_24H', 'S1', 'S16', 'S7']","['2', '3', '2', '2', '3', '2', '2']",7,0,SLC29A2,CRLS1
15,4833,1841,"['CALU3_12H', 'CALU3_24H', 'CALU3_8H', 'S1', 'S16', 'S6', 'S7']","['2', '2', '2', '2', '2', '2', '2']",7,2,NME4,DTYMK
16,259230,3177,"['CALU3_12H', 'CALU3_24H', 'S1', 'S16', 'S7']","['2', '3', '2', '2', '2', '2']",6,0,SGMS1,SLC29A2
17,9057,8140,"['CALU3_4H', 'CALU3_8H', 'S16', 'S2', 'S5', 'S6']","['2', '3', '2', '2', '2', '2']",6,0,SLC7A6,SLC7A5
18,54675,6566,"['CALU3_12H', 'CALU3_24H', 'S1', 'S16', 'S6', 'S7']","['3', '3', '3', '2', '3', '3']",6,0,CRLS1,SLC16A1
19,259230,6584,"['CALU3_12H', 'CALU3_24H', 'S1', 'S16', 'S5', 'S6']","['2', '2', '2', '2', '2', '2']",6,0,SGMS1,SLC22A5
20,54675,6584,"['CALU3_12H', 'CALU3_24H', 'S1', 'S16', 'S5', 'S6']","['2', '2', '2', '2', '2', '2']",6,0,CRLS1,SLC22A5
21,57704,51228,"['H1299_12H', 'H1299_24H', 'H1299_36H', 'H1299_4H', 'S2', 'S5']","['3', '3', '3', '3', '3', '3']",6,0,GBA2,GLTP
22,3251,5198,"['CALU3_12H', 'CALU3_24H', 'CALU3_4H', 'CALU3_8H', 'S7']","['2', '2', '2', '2', '2']",5,0,HPRT1,PFAS
23,3251,10606,"['CALU3_12H', 'CALU3_24H', 'CALU3_4H', 'CALU3_8H', 'S7']","['2', '2', '2', '2', '2']",5,0,HPRT1,PAICS
24,3251,2618,"['CALU3_12H', 'CALU3_24H', 'CALU3_4H', 'CALU3_8H', 'S7']","['2', '2', '2', '2', '2']",5,0,HPRT1,GART
25,10999,6584,"['CALU3_12H', 'CALU3_24H', 'S1', 'S6', 'S7']","['2', '2', '2', '2', '2']",5,3,SLC27A4,SLC22A5
26,875,6520,"['CALU3_12H', 'CALU3_24H', 'CALU3_4H', 'CALU3_8H', 'S5']","['2', '2', '2', '2', '2']",5,3,CBS,SLC3A2
27,471,3251,"['CALU3_12H', 'CALU3_24H', 'CALU3_4H', 'CALU3_8H', 'S7']","['2', '2', '2', '2', '2']",5,0,ATIC,HPRT1
28,875,23657,"['CALU3_12H', 'CALU3_24H', 'CALU3_4H', 'CALU3_8H', 'S5']","['2', '2', '2', '2', '2']",5,3,CBS,SLC7A11
29,5471,3251,"['CALU3_12H', 'CALU3_24H', 'CALU3_4H', 'CALU3_8H', 'S7']","['2', '2', '2', '2', '2']",5,0,PPAT,HPRT1
30,293,51727,"['S1', 'S16']","['2', '3', '2', '3']",4,2,SLC25A6,CMPK1
31,55276,54675,"['CALU3_12H', 'CALU3_24H', 'S16', 'S6']","['3', '3', '3', '3']",4,0,PGM2,CRLS1
32,259230,6390,"['CALU3_8H', 'H1299_4H', 'S1', 'S7']","['3', '3', '3', '3']",4,0,SGMS1,SDHB
33,6391,259230,"['CALU3_8H', 'H1299_4H', 'S1', 'S7']","['3', '3', '3', '3']",4,0,SDHC,SGMS1
34,3177,10999,"['CALU3_12H', 'CALU3_24H', 'S1', 'S7']","['2', '2', '2', '2']",4,2,SLC29A2,SLC27A4
35,1738,259230,"['H1299_4H', 'S1', 'S7']","['3', '2', '3', '3']",4,0,DLD,SGMS1
36,1738,54675,"['H1299_4H', 'S1', 'S7']","['3', '2', '3', '3']",4,0,DLD,CRLS1
37,259230,8801,"['CALU3_8H', 'H1299_4H', 'S1', 'S7']","['3', '3', '3', '3']",4,0,SGMS1,SUCLG2
38,259230,8802,"['CALU3_8H', 'H1299_4H', 'S1', 'S7']","['3', '3', '3', '3']",4,0,SGMS1,SUCLG1
39,6564,259230,"['CALU3_12H', 'CALU3_4H', 'CALU3_8H', 'S7']","['2', '2', '2', '2']",4,0,SLC15A1,SGMS1
40,54675,6389,"['CALU3_8H', 'H1299_4H', 'S1', 'S7']","['3', '3', '3', '3']",4,0,CRLS1,SDHA
41,6564,10999,"['CALU3_12H', 'CALU3_4H', 'CALU3_8H', 'S7']","['2', '2', '2', '2']",4,2,SLC15A1,SLC27A4
42,4860,259230,"['CALU3_12H', 'CALU3_24H', 'S16', 'S5']","['2', '2', '2', '2']",4,0,PNP,SGMS1
43,11212,5338,"['H1299_12H', 'H1299_24H', 'H1299_36H', 'H1299_4H']","['2', '2', '2', '2']",4,0,PLPBP,PLD2
44,54675,22934,"['CALU3_12H', 'CALU3_24H', 'S16']","['2', '2', '2', '3']",4,0,CRLS1,RPIA
45,51071,54675,"['CALU3_12H', 'CALU3_24H', 'S16', 'S6']","['3', '3', '3', '3']",4,0,DERA,CRLS1
46,4860,54675,"['CALU3_12H', 'CALU3_24H', 'S16', 'S5']","['2', '2', '2', '2']",4,0,PNP,CRLS1
47,51727,5338,"['CALU3_12H', 'CALU3_24H', 'CALU3_4H', 'CALU3_8H']","['2', '2', '2', '2']",4,1,CMPK1,PLD2
48,2821,51477,"['CALU3_12H', 'CALU3_4H', 'H1299_4H', 'S2']","['3', '3', '3', '3']",4,0,GPI,ISYNA1
49,9791,11212,"['CALU3_24H', 'S1', 'S16']","['3', '2', '3', '3']",4,4,PTDSS1,PLPBP
50,2821,54675,"['CALU3_12H', 'CALU3_4H', 'H1299_4H', 'S2']","['3', '3', '3', '3']",4,0,GPI,CRLS1
51,8034,259230,"['S1', 'S16', 'S5', 'S6']","['2', '2', '2', '2']",4,0,SLC25A16,SGMS1
52,54675,6390,"['CALU3_8H', 'H1299_4H', 'S1', 'S7']","['3', '3', '3', '3']",4,0,CRLS1,SDHB
53,54675,7389,"['CALU3_24H', 'S1', 'S7']","['3', '2', '3', '3']",4,0,CRLS1,UROD
54,1622,259230,"['S1', 'S16', 'S5', 'S6']","['2', '2', '2', '2']",4,0,DBI,SGMS1
55,2271,259230,"['CALU3_8H', 'H1299_4H', 'S1', 'S7']","['3', '3', '3', '3']",4,0,FH,SGMS1
56,259230,6389,"['CALU3_8H', 'H1299_4H', 'S1', 'S7']","['3', '3', '3', '3']",4,0,SGMS1,SDHA
57,6566,259230,"['CALU3_12H', 'S1', 'S6', 'S7']","['3', '2', '3', '3']",4,0,SLC16A1,SGMS1
58,6392,259230,"['CALU3_8H', 'H1299_4H', 'S1', 'S7']","['3', '3', '3', '3']",4,0,SDHD,SGMS1
59,54675,8801,"['CALU3_8H', 'H1299_4H', 'S1', 'S7']","['3', '3', '3', '3']",4,0,CRLS1,SUCLG2
60,54675,8802,"['CALU3_8H', 'H1299_4H', 'S1', 'S7']","['3', '3', '3', '3']",4,0,CRLS1,SUCLG1
61,54675,8034,"['S1', 'S16', 'S5', 'S6']","['2', '2', '2', '2']",4,0,CRLS1,SLC25A16
62,2271,54675,"['CALU3_8H', 'H1299_4H', 'S1', 'S7']","['3', '3', '3', '3']",4,0,FH,CRLS1
63,1622,54675,"['S1', 'S16', 'S5', 'S6']","['2', '2', '2', '2']",4,0,DBI,CRLS1
64,1468,54675,"['CALU3_8H', 'H1299_4H', 'S1', 'S7']","['3', '3', '3', '3']",4,0,SLC25A10,CRLS1
65,54675,6564,"['CALU3_12H', 'CALU3_4H', 'CALU3_8H', 'S7']","['2', '2', '2', '2']",4,0,CRLS1,SLC15A1
66,1468,259230,"['CALU3_8H', 'H1299_4H', 'S1', 'S7']","['3', '3', '3', '3']",4,0,SLC25A10,SGMS1
67,54675,6392,"['CALU3_8H', 'H1299_4H', 'S1', 'S7']","['3', '3', '3', '3']",4,0,CRLS1,SDHD
68,2821,259230,"['CALU3_12H', 'CALU3_4H', 'H1299_4H', 'S2']","['3', '3', '3', '3']",4,0,GPI,SGMS1
69,54675,6391,"['CALU3_8H', 'H1299_4H', 'S1', 'S7']","['3', '3', '3', '3']",4,0,CRLS1,SDHC
70,788,54675,"['H1299_4H', 'S16', 'S5']","['3', '2', '2']",3,0,SLC25A20,CRLS1
71,290,6519,"['H1299_12H', 'H1299_24H', 'H1299_4H']","['3', '3', '3']",3,1,ANPEP,SLC3A1
72,290,11136,"['H1299_12H', 'H1299_24H', 'H1299_4H']","['3', '3', '3']",3,1,ANPEP,SLC7A9
73,2875,84706,"['H1299_12H', 'H1299_24H', 'H1299_36H']","['3', '3', '3']",3,1,GPT,GPT2
74,6576,54675,"['S16', 'S5', 'S7']","['2', '2', '3']",3,0,SLC25A1,CRLS1
75,8836,11136,"['H1299_12H', 'H1299_24H', 'H1299_4H']","['3', '3', '3']",3,1,GGH,SLC7A9
76,51477,22934,"['CALU3_12H', 'CALU3_24H']","['2', '3', '2']",3,1,ISYNA1,RPIA
77,6526,11212,"['S1', 'S16']","['2', '2', '3']",3,3,SLC5A3,PLPBP
78,11212,51228,"['CALU3_24H', 'CALU3_4H', 'CALU3_8H']","['3', '3', '3']",3,1,PLPBP,GLTP
79,51727,9791,"['CALU3_24H', 'S1', 'S16']","['2', '3', '3']",3,2,CMPK1,PTDSS1
80,1806,54675,"['S16', 'S5', 'S6']","['3', '3', '3']",3,0,DPYD,CRLS1
81,6519,8836,"['H1299_12H', 'H1299_24H', 'H1299_4H']","['3', '3', '3']",3,1,SLC3A1,GGH
82,6566,9791,"['CALU3_24H', 'CALU3_4H', 'S16']","['3', '2', '3']",3,3,SLC16A1,PTDSS1
83,259230,7389,"['S1', 'S7']","['2', '3', '3']",3,0,SGMS1,UROD
84,259230,6576,"['S16', 'S5', 'S7']","['2', '2', '3']",3,0,SGMS1,SLC25A1
85,3177,51477,"['CALU3_12H', 'CALU3_24H']","['2', '3', '2']",3,1,SLC29A2,ISYNA1
86,259230,788,"['H1299_4H', 'S16', 'S5']","['3', '2', '2']",3,0,SGMS1,SLC25A20
87,51727,54675,"['S1', 'S16', 'S5']","['3', '3', '3']",3,0,CMPK1,CRLS1
88,249,54675,"['S16', 'S5']","['2', '2', '3']",3,1,ALPL,CRLS1
89,22934,259230,"['CALU3_12H', 'CALU3_24H', 'S16']","['2', '2', '2']",3,0,RPIA,SGMS1
90,51477,7389,"['CALU3_24H', 'CALU3_4H', 'S2']","['3', '3', '3']",3,0,ISYNA1,UROD
91,5226,51477,"['CALU3_12H', 'CALU3_4H', 'S2']","['3', '3', '3']",3,0,PGD,ISYNA1
92,259230,249,"['S16', 'S5']","['2', '2', '3']",3,1,SGMS1,ALPL
93,54675,8050,"['H1299_4H', 'S1']","['3', '2']",2,0,CRLS1,PDHX
94,51477,6391,"['CALU3_8H', 'H1299_4H']","['3', '3']",2,0,ISYNA1,SDHC
95,51477,6526,"['CALU3_4H', 'S2']","['2', '2']",2,2,ISYNA1,SLC5A3
96,51477,6566,"['CALU3_12H', 'CALU3_24H']","['3', '3']",2,0,ISYNA1,SLC16A1
97,6392,51477,"['CALU3_8H', 'H1299_4H']","['3', '3']",2,0,SDHD,ISYNA1
98,51727,1622,"['S1', 'S16']","['2', '2']",2,1,CMPK1,DBI
99,259230,1376,"['S16', 'S5']","['2', '2']",2,0,SGMS1,CPT2
100,51727,788,"['S1', 'S16']","['2', '2']",2,1,CMPK1,SLC25A20
101,51727,8801,"['S1', 'S16']","['3', '3']",2,1,CMPK1,SUCLG2
102,51727,8802,"['S1', 'S16']","['3', '3']",2,1,CMPK1,SUCLG1
103,51071,9791,"['CALU3_24H', 'S16']","['3', '3']",2,2,DERA,PTDSS1
104,51071,259230,"['CALU3_12H', 'S6']","['3', '3']",2,0,DERA,SGMS1
105,51477,6389,"['CALU3_8H', 'H1299_4H']","['3', '3']",2,0,ISYNA1,SDHA
106,51727,6584,"['S1', 'S16']","['2', '2']",2,1,CMPK1,SLC22A5
107,51727,6576,['S16'],"['2', '3']",2,2,CMPK1,SLC25A1
108,10087,259230,"['CALU3_24H', 'S16']","['3', '3']",2,0,CERT1,SGMS1
109,51477,6390,"['CALU3_8H', 'H1299_4H']","['3', '3']",2,0,ISYNA1,SDHB
110,586,10999,"['H1299_24H', 'H1299_36H']","['2', '2']",2,0,BCAT1,SLC27A4
111,51727,1376,"['S1', 'S16']","['2', '2']",2,1,CMPK1,CPT2
112,22934,10999,"['CALU3_12H', 'CALU3_24H']","['2', '2']",2,1,RPIA,SLC27A4
113,4860,10999,"['CALU3_12H', 'CALU3_24H']","['2', '2']",2,1,PNP,SLC27A4
114,1622,10999,"['S1', 'S6']","['2', '2']",2,1,DBI,SLC27A4
115,7084,1841,"['S6', 'S7']","['2', '2']",2,1,TK2,DTYMK
116,10999,8034,"['S1', 'S6']","['2', '2']",2,1,SLC27A4,SLC25A16
