Series,RECON,SKO_Safe,SKO_Toxic,SKO_Unkown
S16,2.mat,"1491,2987,51727,9791","259230,54675",6526
S16,3D.mat,"11136,2987,6519,9791","114134,5184,54675",
S1,2.mat,"","10999,1491,259230,2987,51727,54675,6526",
S1,3D.mat,"11136,6519","259230,2987,54675,9791",6526
S2,2.mat,"","259230,54675",
S2,3D.mat,"23657,6520","259230,51477,54675",
S5,2.mat,"1841","259230,2987,54675",
S5,3D.mat,"2987,5184","23657,259230,51477,54675,6520",
S6,2.mat,"10999,1719,189,7298","259230,2987,54675",
S6,3D.mat,"","259230,2987,5184,54675",
S7,2.mat,"10999,51727","259230,2987,54675",
S7,3D.mat,"51727","259230,2987,5184,54675",
