,Series,RECON,SKO_Safe,SKO_Toxic,SKO_Unkown,All_genes,SKO_Safe_Sym,SKO_Toxic_Sym,SKO_Unknown_Sym,SKO_All
0,S16,2,"['1491', '2987', '51727', '9791']","['259230', '54675']",['6526'],"{'259230', '2987', '51727', '6526', '54675', '9791', '1491'}","{'CTH', 'CMPK1', 'GUK1', 'PTDSS1'}","{'SGMS1', 'CRLS1'}",{'SLC5A3'},"{'CRLS1', 'PTDSS1', 'SLC5A3', 'CTH', 'GUK1', 'SGMS1', 'CMPK1'}"
1,S16,3D,"['11136', '2987', '6519', '9791']","['114134', '5184', '54675']",['nan'],"{'11136', '114134', '6519', '54675', '5184', '9791', '2987'}","{'SLC7A9', 'PTDSS1', 'GUK1', 'SLC3A1'}","{'CRLS1', 'SLC2A13', 'PEPD'}",{'NaN'},"{'CRLS1', 'SLC7A9', 'PTDSS1', 'SLC2A13', 'PEPD', 'GUK1', 'SLC3A1'}"
2,S1,2,['nan'],"['10999', '1491', '259230', '2987', '51727', '54675', '6526']",['nan'],"{'259230', '2987', '51727', '54675', '10999', '6526', '1491'}",{'NaN'},"{'CRLS1', 'SLC5A3', 'CTH', 'GUK1', 'SGMS1', 'SLC27A4', 'CMPK1'}",{'NaN'},"{'CRLS1', 'SLC5A3', 'CTH', 'GUK1', 'SGMS1', 'SLC27A4', 'CMPK1'}"
3,S1,3D,"['11136', '6519']","['259230', '2987', '54675', '9791']",['6526'],"{'11136', '259230', '6519', '6526', '54675', '9791', '2987'}","{'SLC7A9', 'SLC3A1'}","{'SGMS1', 'GUK1', 'PTDSS1', 'CRLS1'}",{'SLC5A3'},"{'CRLS1', 'SLC7A9', 'PTDSS1', 'SLC5A3', 'GUK1', 'SGMS1', 'SLC3A1'}"
4,S2,2,['nan'],"['259230', '54675']",['nan'],"{'259230', '54675'}",{'NaN'},"{'SGMS1', 'CRLS1'}",{'NaN'},"{'SGMS1', 'CRLS1'}"
5,S2,3D,"['23657', '6520']","['259230', '51477', '54675']",['nan'],"{'23657', '259230', '6520', '54675', '51477'}","{'SLC3A2', 'SLC7A11'}","{'SGMS1', 'ISYNA1', 'CRLS1'}",{'NaN'},"{'CRLS1', 'SLC3A2', 'SLC7A11', 'SGMS1', 'ISYNA1'}"
6,S5,2,['1841'],"['259230', '2987', '54675']",['nan'],"{'2987', '259230', '1841', '54675'}",{'DTYMK'},"{'SGMS1', 'GUK1', 'CRLS1'}",{'NaN'},"{'SGMS1', 'GUK1', 'DTYMK', 'CRLS1'}"
7,S5,3D,"['2987', '5184']","['23657', '259230', '51477', '54675', '6520']",['nan'],"{'23657', '259230', '51477', '6520', '54675', '5184', '2987'}","{'GUK1', 'PEPD'}","{'CRLS1', 'SLC3A2', 'SLC7A11', 'SGMS1', 'ISYNA1'}",{'NaN'},"{'CRLS1', 'SLC3A2', 'SLC7A11', 'PEPD', 'GUK1', 'SGMS1', 'ISYNA1'}"
8,S6,2,"['10999', '1719', '189', '7298']","['259230', '2987', '54675']",['nan'],"{'259230', '189', '1719', '2987', '54675', '10999', '7298'}","{'DHFR', 'TYMS', 'AGXT', 'SLC27A4'}","{'SGMS1', 'GUK1', 'CRLS1'}",{'NaN'},"{'CRLS1', 'DHFR', 'TYMS', 'GUK1', 'SGMS1', 'AGXT', 'SLC27A4'}"
9,S6,3D,['nan'],"['259230', '2987', '5184', '54675']",['nan'],"{'5184', '259230', '2987', '54675'}",{'NaN'},"{'SGMS1', 'GUK1', 'PEPD', 'CRLS1'}",{'NaN'},"{'SGMS1', 'CRLS1', 'PEPD', 'GUK1'}"
10,S7,2,"['10999', '51727']","['259230', '2987', '54675']",['nan'],"{'259230', '51727', '54675', '10999', '2987'}","{'CMPK1', 'SLC27A4'}","{'SGMS1', 'GUK1', 'CRLS1'}",{'NaN'},"{'CRLS1', 'GUK1', 'SGMS1', 'SLC27A4', 'CMPK1'}"
11,S7,3D,['51727'],"['259230', '2987', '5184', '54675']",['nan'],"{'259230', '51727', '54675', '5184', '2987'}",{'CMPK1'},"{'SGMS1', 'GUK1', 'PEPD', 'CRLS1'}",{'NaN'},"{'CRLS1', 'GUK1', 'PEPD', 'SGMS1', 'CMPK1'}"
