Var1,Var2
"Transport, lysosomal","5-Glutamyl-10Fthf Transport, Lysosomal"
"Transport, mitochondrial","5-Glutamyl-10Fthf Transport, Mitochondrial"
"Transport, lysosomal","6-Glutamyl-10Fthf Transport, Lysosomal"
"Transport, mitochondrial","6-Glutamyl-10Fthf Transport, Mitochondrial"
"Transport, lysosomal","7-Glutamyl-10Fthf Transport, Lysosomal"
"Transport, mitochondrial","7-Glutamyl-10Fthf Transport, Mitochondrial"
"Transport, lysosomal","10-Formyltetrahydrofolate Lysosomal Transport via Diffusion"
"Transport, mitochondrial","10-Formyltetrahydrofolate Mitochondrial Transport via Diffusion"
"Transport, mitochondrial","11-Deoxycortisol Intracellular Transport"
"Transport, endoplasmic reticular","11-Deoxycortisol Intracellular Transport"
"Transport, mitochondrial","11-Deoxycorticosterone Intracellular Transport"
"Transport, endoplasmic reticular","11-Deoxycorticosterone Intracellular Transport"
Beta-Alanine metabolism,"1, 3-Diaminopropane:Oxygen Oxidoreductase (Deaminating)"
Vitamin D metabolism,"1-Alpha-Vitamin D-24, 25-Hydroxylase (D2)"
Vitamin D metabolism,"1-Alpha, 24R, 25-Vitamin D-Hydroxylase (D2)"
"Transport, extracellular","N1-Methylnicotinamide Transport"
Lysine metabolism,"Delta1-Piperideine-2-Carboxylate Reductase, Perixosomal"
"Transport, extracellular","24, 25-Dihydroxyvitamin D2 Transport from Cytoplasm"
"Transport, mitochondrial","24, 25-Dihydroxyvitamin D2 Transport from Mitochondria"
"Transport, extracellular","24, 25-Dihydroxyvitamin D3 Transport from Cytoplasm"
"Transport, mitochondrial","24, 25-Dihydroxyvitamin D3 Transport from Mitochondria"
Vitamin D metabolism,"24R-Vitamin D-25-Hydroxylase (D2)"
Vitamin D metabolism,"24R-Vitamin D-25-Hydroxylase (D3)"
"Transport, extracellular","Transport of Xenobiotic"
"Transport, extracellular","25-Hydroxyvitamin D2 Transport from Cytoplasm"
"Transport, mitochondrial","25-Hydroxyvitamin D2 Transport in Mitochondria"
"Transport, extracellular","25-Hydroxyvitamin D3 Transport from Cytoplasm"
"Transport, mitochondrial","25-Hydroxyvitamin D3 Transport in Mitochondria"
Vitamin D metabolism,"1-Alpha-Vitamin D-25-Hydroxylase (D2)"
Vitamin D metabolism,"1-Alpha-Vitamin D-25-Hydroxylase (D3)"
"Glycine, serine, alanine, and threonine metabolism","2-Aminoacrylate Hydrolysis"
Methionine and cysteine metabolism,"2-Aminoacrylate Sulfotransferase"
Lysine metabolism,"L-2-Aminoadipate Shuttle (Cytosol/Mitochondria)"
Pyrimidine catabolism,"2-Deoxy-D-Ribose 1-Phosphate Phosphorylase"
Propanoate metabolism,"2-Hydroxybutyrate:NAD+ Oxidoreductase"
"Transport, extracellular","2-Hydroxybutyrate Symport with Proton"
"Transport, extracellular","Bicarbonate Transport (Na/Hco3 1:2 Symport)"
"Transport, extracellular","2-Methylcitrate Transport via Diffusion"
Lysine metabolism,"2-Oxoadipate:Lipoamde 2-Oxidoreductase (Decarboxylating And Acceptor-Succinylating), Mitochondrial"
Tryptophan metabolism,"2-Oxoadipate Shuttle (Cytosol/Mitochondria)"
Tyrosine metabolism,"3, 4-Dihydroxyphenylethyleneglycol:NAD+ Oxidoreductase"
"Transport, extracellular","3, 4-Dihydroxyphenylethyleneglycol Transport (Diffusion)"
Tyrosine metabolism,"3, 4-Dihydroxyphenylacetate:Amet O-Methyltransferase"
"Transport, extracellular","3, 4-Dihydroxy-L-Phenylalanine Transport"
Tyrosine metabolism,"3, 4-Dihydroxyphenylacetaldehyde:NAD+ Oxidoreductase"
Tyrosine metabolism,"3, 4-Dihydroxyphenylacetaldehyde:NADP+ Oxidoreductase"
Tyrosine metabolism,"3, 4-Dihydroxymandelaldehyde:NAD+ Oxidoreductase"
Tyrosine metabolism,"3, 4-Dihydroxymandelaldehyde:NADP+ Oxidoreductase"
Ubiquinone synthesis,"3- (4-Hydroxyphenyl-)Lactate Formation"
Tyrosine metabolism,"4-Hydroxyphenylpyruvate:Oxygen Oxidoreductase"
"Transport, nuclear","35CGMP Nuclear Transport"
"Valine, leucine, and isoleucine metabolism","L-3-Aminoisobutyrate Transaminase, Mitochondrial"
"Transport, mitochondrial","3-Amino-Isobutyrate Transport, Mitochondrial"
Ubiquinone synthesis,"Hydroxylation of 3-Decaprenyl-4-Hydroxybenzoate (NADH)"
Ubiquinone synthesis,"Hydroxylation of 3-Decaprenyl-4-Hydroxybenzoate (NADPH)"
Sphingolipid metabolism,"3-Dehydrosphinganine Reductase"
Tryptophan metabolism,"3-Hydroxyanthranilate 3, 4-Dioxygenase"
Butanoate metabolism,"3-Hydroxybutyryl Coenzyme A Dehydratase, Mitochondrial"
"Valine, leucine, and isoleucine metabolism","3-Hydroxyisobutyryl Coenzyme A Hydrolase, Mitochondrial"
Tryptophan metabolism,"3-Hydroxy-L-Kynurenine:2-Oxoglutarate Aminotransferase"
Tyrosine metabolism,"3-Hydroxy-L-Tyrosine Carboxy-Lyase"
Tyrosine metabolism,"3-Methoxy-4-Hydroxyphenylacetaldehyde:NAD+ Oxidoreductase"
"Transport, extracellular","3Mlda Extracellular Transport via Diffusion"
"Transport, mitochondrial","3-Methyl-2-Oxobutanoate Mitochondrial Transport via Proton Symport"
"Transport, mitochondrial","3-Methyl-2-Oxopentanoate Mitochondrial Transport via Proton Symport"
Tyrosine metabolism,"3-Methoxy-4-Hydroxyphenylglycolaldehyde:NAD+ Oxidoreductase"
Tyrosine metabolism,"3-Methoxy-4-Hydroxyphenylglycolaldehyde:NADP+ Oxidoreductase"
Tyrosine metabolism,"3-Methoxytyramine:Oxygen Oxidoreductase (Deaminating)"
"Transport, mitochondrial","Cysteinesulfinate-Aspartate Mitochondrial Shuttle"
Taurine and hypotaurine metabolism,"3-Sulfino-L-Alanine Carboxy-Lyase"
Taurine and hypotaurine metabolism,"Cysteinesulfinic Acid Oxidase"
Methionine and cysteine metabolism,"3-Sulfino-Alanine Transaminase (Irreversible)"
Methionine and cysteine metabolism,"3-Sulfino-Alanine Transaminase (Irreversible), Mitochondrial"
Methionine and cysteine metabolism,"3-Sulfinopyruvate Hydrolase (Spotaneous Reaction)"
Methionine and cysteine metabolism,"3-Sulfinopyruvate Hydrolase (Spotaneous Reaction), Mitochondrial"
Tyrosine metabolism,"4-[ (1R)-1-Hydroxy-2- (Methylamino)Ethyl]-1, 2-Benzenediol:Oxygen Oxidoreductase (Deaminating) (Flavin-Containing)"
Tyrosine metabolism,"4-[ (1R)-2-Amino-1-Hydroxyethyl]-1, 2-Benzenediol:Oxygen Oxidoreductase (Deaminating) (Flavin-Containing)"
Tyrosine metabolism,"4- (2-Aminoethyl)-1, 2-Benzenediol:Oxygen Oxidoreductase (Deaminating) (Flavin-Containing)"
"Transport, mitochondrial","4-Aminobutanoate Mitochondrial Transport via Diffusion"
Ubiquinone synthesis,"4-Hydroxybenzoyl Coenzyme A Formation"
Ubiquinone synthesis,"4-Hydroxybenzoate Formation"
"Transport, extracellular","Transport of Xenobiotic"
Arginine and proline metabolism,"L-4-Hydroxyglutamate Semialdehyde Dehydrogenase, Mitochondrial"
Tyrosine metabolism,"4-Hydroxyphenylacetaldehyde:NADP+ Oxidoreductase"
"Transport, mitochondrial","4-Methyl-2-Oxopentanoate Mitochondrial Transport via Proton Symport"
"Transport, extracellular","4-Methylpentanal Transport"
"Transport, mitochondrial","4-Methylpentanal Transport, Mitochondrial"
"Transport, extracellular","Transport of Xenobiotic"
"Transport, extracellular","Transport of Xenobiotic"
Cytochrome metabolism,"4-Nitrophenol Sulfotransferase"
"Transport, extracellular","Transport of Xenobiotic"
"Transport, extracellular","4-Pyridoxal Secretion"
"Transport, extracellular","Glucuronidated Compound Transport"
"Transport, endoplasmic reticular","Glucuronidated Compound Transport"
"Transport, extracellular","Sulfonated Testosterone Transport"
Steroid metabolism,"5Alpha-Dihydrotestosterone Sulfotransferase"
"Transport, extracellular","5 Alpha Dihydrotesterone Transport"
"Transport, endoplasmic reticular","5 Alpha Dihydrotesterone Intracellular Transport"
Heme synthesis,"5-Aminolevulinate Mitochondrial Transport"
"Transport, lysosomal","5-Glutamyl-Dhf Transport, Lysosomal"
"Transport, extracellular","5-Formyltetrahydrofolate Transport via Anion Exchange"
Tryptophan metabolism,"5-Hydroxy-L-Tryptophan Decarboxy-Lyase"
"Transport, extracellular","Transport of Xenobiotic"
Tryptophan metabolism,"5-Hydroxyindoleacetaldehyde:Oxygen Oxidoreductase"
Tryptophan metabolism,"5-Hydroxytryptamine:Oxygen Oxidoreductase (Deaminating) (Flavin-Containing)"
"Transport, extracellular","5-Hydroxy-L-Tryptophan Secretion via Secretory Vesicle (ATP Driven)"
