"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"LOC100133331" 17.3994255155043 -1.22042137685219 0.552189805316796 -2.2101483314275 0.0270948695004015 0.0368059550582228
"ISG15" 1048.89943820502 5.59800222015382 0.160358216508888 34.9093569511204 5.36155106462035e-267 2.83170319477924e-264
"PEX10" 155.318599059389 -1.45532540983549 0.216755451724886 -6.71413520746248 1.8918482945714e-11 5.97953127934103e-11
"FAM213B" 183.817219249245 -1.94887506308792 0.271792305526012 -7.1704570860318 7.47477748385309e-13 2.59382636537254e-12
"ARHGEF16" 112.745907823484 -1.34364009169914 0.314455304938186 -4.27291278155814 1.92935938352392e-05 3.76497749273289e-05
"MEGF6" 106.527616061918 -1.16138978974402 0.224221419949148 -5.17965585093259 2.22295624990522e-07 5.16635574647939e-07
"NPHP4" 73.0423537152281 -1.20731563577509 0.28868702900646 -4.1820917272597 2.88839385605187e-05 5.54124669478313e-05
"KCNAB2" 118.089693775785 -2.01273371126822 0.254234510530363 -7.91683909107943 2.43624702909091e-15 9.87493375605806e-15
"NOL9" 216.202086095253 1.05382761892748 0.135067245718603 7.80224408457256 6.08158722897526e-15 2.41684747553294e-14
"KLHL21" 319.899157674858 1.16339034605536 0.144543238817146 8.04873583555926 8.36535862605359e-16 3.48573109140055e-15
"PHF13" 205.919624858195 1.15499593388211 0.141129388932047 8.18395050543469 2.74686934533802e-16 1.17422828388529e-15
"THAP3" 145.686275565506 1.64152301257346 0.168633535243263 9.73426199127872 2.15375345368468e-22 1.26741491539116e-21
"PER3" 168.410232353784 3.54748937296472 0.155746515883923 22.7773273310887 7.69438038763925e-115 4.7809258843902e-113
"ERRFI1" 3284.52789191573 2.33827907777097 0.285672993801452 8.18515970535218 2.71942769527634e-16 1.16296820830785e-15
"H6PD" 478.544006724794 -1.36706320079893 0.1255239119926 -10.8908587941357 1.2743286822782e-27 9.54661976659903e-27
"UBE4B" 366.960362227988 -1.57096293739284 0.156730845287472 -10.0233169451196 1.20393240954584e-23 7.46749151029517e-23
"PGD" 6860.9906173356 -1.64993430926767 0.0998549434195735 -16.5233112429389 2.49325760035034e-61 5.3204606126264e-60
"DFFA" 310.713619501174 -1.21657627943261 0.193823541940237 -6.2767209145715 3.45787950199722e-10 9.98239441913e-10
"CASZ1" 121.669303743279 1.61397317468716 0.207892098959532 7.76351377837275 8.26081438454156e-15 3.24745003140724e-14
"TARDBP" 1893.1090692831 1.12300191580744 0.0962559773128668 11.6668278392445 1.88314749843512e-31 1.61327550900001e-30
"SRM" 233.926340250053 -1.11795354690699 0.203785596505509 -5.48593014461045 4.1129941882214e-08 1.01841438373611e-07
"UBIAD1" 152.324326541582 -1.20803868132964 0.197138455601439 -6.12786925637668 8.90637231030648e-10 2.49213273413953e-09
"FBXO2" 170.384679134256 -1.02403637429234 0.307286551547907 -3.33251282600532 0.000860655032743205 0.00141297779155525
"MAD2L2" 141.667554368048 -1.23790106781759 0.197636727228354 -6.26351733899787 3.76389281581986e-10 1.0836195097712e-09
"AGTRAP" 377.138841222884 -1.38128507671826 0.170220888593864 -8.1146625900533 4.87136409881778e-16 2.05414047807634e-15
"PRDM2" 381.431454534398 1.08386500119299 0.117500504553839 9.22434337885213 2.85303530684966e-20 1.52745118835545e-19
"TMEM51-AS1" 51.3732615831587 -1.66589694154664 0.473044030588417 -3.5216530255639 0.000428865066625039 0.000725396589072904
"EFHD2" 1465.37025338318 1.68288812060707 0.158101912632101 10.6443248698901 1.85322800904034e-26 1.3059137731483e-25
"AGMAT" 55.3079560900734 -1.83786225557818 0.380148439599297 -4.834591081093 1.33419607551918e-06 2.90220616674405e-06
"PLEKHM2" 632.016779930613 1.04579473028002 0.126330346781216 8.2782542510642 1.24994130897945e-16 5.44908379973169e-16
"FBLIM1" 669.027794210717 -1.2991576253491 0.156857344439574 -8.28241501850477 1.20702089440363e-16 5.26849657338244e-16
"SPEN" 1131.38297865843 1.01674706078198 0.0950753180441673 10.6941221096905 1.0844168166088e-26 7.75013182262429e-26
"ZBTB17" 263.789796339461 2.2216690720363 0.18236754576324 12.1823708420171 3.8589845107599e-34 3.6525495866628e-33
"FAM131C" 32.0010801230283 -1.29098195834421 0.353386778071047 -3.65316994990872 0.000259022667906722 0.000449491776096387
"NBPF1" 284.594071471833 -1.06183727139625 0.128581568799844 -8.25808303092916 1.4803057017058e-16 6.42154789614717e-16
"CROCC" 91.4113585999742 -1.8317439484907 0.288160661920189 -6.35667594696888 2.06166272064343e-10 6.03752240592087e-10
"ATP13A2" 333.960749226154 -1.04580258407642 0.202733810897333 -5.1585010879415 2.48934662148462e-07 5.75634158553897e-07
"PADI2" 38.2601131766152 -1.64491628443654 0.380584181664142 -4.3220826394938 1.54563271652154e-05 3.04542405980545e-05
"KLHDC7A" 104.537258506957 1.6313411768584 0.274889802254631 5.93452781252061 2.94692375639024e-09 7.93685763354158e-09
"IFFO2" 646.268258013383 1.29219477532942 0.0958900874038346 13.4757909843948 2.171457158654e-41 2.56280468903489e-40
"AKR7A2" 223.593178880877 -1.84462054647774 0.215788399409434 -8.54828411316856 1.24931879344439e-17 5.8057872481976e-17
"OTUD3" 142.494031016385 2.07063121267515 0.166499123729156 12.4362889503457 1.66040629940545e-35 1.64529753664351e-34
"CDA" 295.092830944658 -1.118175315672 0.189044224571616 -5.91488747252579 3.3210255044751e-09 8.91939801773976e-09
"SH2D5" 112.221415796876 2.04326125620567 0.215116777079698 9.49838168804786 2.13177351488265e-21 1.19585361857171e-20
"HP1BP3" 1197.45569889728 -1.04526556941666 0.105548478019087 -9.90317993242532 4.03245236668394e-23 2.44797668674037e-22
"NBPF3" 81.2095463234259 -1.64749636661714 0.268325608049305 -6.13991477963749 8.25657634305131e-10 2.31706205928935e-09
"RAP1GAP" 205.834381704618 -1.43358988854327 0.201428123476935 -7.11712874943912 1.10198539860329e-12 3.77563145165312e-12
"HSPG2" 2735.35434330164 -1.54303259421917 0.182640502071163 -8.44846885943159 2.95147957523269e-17 1.34553158312434e-16
"EPHB2" 1016.17371887159 -1.83096032720906 0.119793017263593 -15.2843660593356 9.72042598951053e-53 1.67498955509298e-51
"ZNF436" 537.981162085037 3.36483413759333 0.116508982098314 28.8804697886208 2.10045109257021e-183 3.89246752470511e-181
"PNRC2" 248.64389976224 2.80835931087943 0.133535182047813 21.0308569458038 3.42409362064554e-98 1.68226515883157e-96
"SRSF10" 441.106860476438 1.49194005823585 0.121717026349987 12.2574474827039 1.53251501208737e-34 1.47029573775467e-33
"IL22RA1" 49.3625462687646 1.61285000823902 0.243827725375079 6.61471129158089 3.72277577869422e-11 1.15386386591394e-10
"STPG1" 149.442421316161 -1.10865042506001 0.185071565310443 -5.99038768165352 2.09341409973766e-09 5.68450723278378e-09
"NIPAL3" 428.680485444702 -1.61304712718856 0.19598907102727 -8.23029120314633 1.86758870287786e-16 8.04540761358029e-16
"RCAN3" 130.113974723777 -1.28026882770244 0.212011382651454 -6.03867967696432 1.55380345708755e-09 4.26750543869364e-09
"SRRM1" 936.244335819572 1.50749891576938 0.0904652553798699 16.663844140375 2.40085022602956e-62 5.2505550595342e-61
"SYF2" 615.249155548381 1.53955742540286 0.144103609316425 10.6836840014345 1.21357969713347e-26 8.61494780969144e-26
"STMN1" 873.460645129606 -2.21377165132324 0.149710475077088 -14.787019079215 1.77649020851932e-49 2.72352192635553e-48
"PIGV" 125.085835136537 -1.61011537056312 0.210137746430736 -7.66219014865963 1.82788734355831e-14 7.05700804459301e-14
"GPATCH3" 101.463944149767 1.0793257017011 0.197642504944863 5.46099990992423 4.73460288934085e-08 1.16740453595022e-07
"GPR3" 43.3056442628742 3.39755340079333 0.255130705279947 13.3169129802126 1.84583234532197e-40 2.12391362348976e-39
"AHDC1" 250.201781744115 1.17457441683426 0.165531536327408 7.09577427295214 1.28629279073281e-12 4.38576847918356e-12
"IFI6" 1623.22241840002 5.63280511168194 0.160338144191273 35.1307865018219 2.28465986606286e-270 1.27015064027484e-267
"STX12" 323.46506749674 1.12463580799565 0.133783873462115 8.40636303084858 4.22920707142599e-17 1.90422482077889e-16
"EYA3" 250.81628063318 1.31940150865286 0.121623196906542 10.848271893944 2.0323137659208e-27 1.51178382460714e-26
"PTAFR" 339.116258805828 1.07427801856 0.288128489125808 3.72846857948478 0.000192646922708675 0.000338816091337286
"DNAJC8" 1081.0388122789 1.08352035578389 0.0958616565586948 11.3029588125307 1.26870037351877e-29 1.01833450193608e-28
"SESN2" 485.259050891076 1.83658183582357 0.131261655828808 13.9917619066062 1.75021560960438e-44 2.29089559903979e-43
"MED18" 224.468937339244 1.60632890852982 0.133934151105384 11.9934228519946 3.84674475918909e-33 3.51194165007039e-32
"PHACTR4" 681.510431195304 1.02828129222159 0.0961320476199108 10.6965503979197 1.05637977053593e-26 7.55998612206706e-26
"SNHG3" 502.650414495301 1.52716284628593 0.122073491987026 12.5101921918334 6.56651586321239e-36 6.58084507240157e-35
"RCC1" 778.023517261759 -1.41124602879689 0.121762345204908 -11.5901679326394 4.62225413813655e-31 3.89975003683198e-30
"SNHG12" 198.524646962494 1.47933589954462 0.12814857469412 11.5439122368366 7.92375533401118e-31 6.61126600261928e-30
"TAF12" 216.001529811361 -1.6030021218618 0.192915451295616 -8.30935060460976 9.62272189421286e-17 4.23343654179802e-16
"GMEB1" 119.485556111768 1.19261502284894 0.198795250680702 5.99921285224504 1.9827631475352e-09 5.39791936273565e-09
"YTHDF2" 901.134199514323 1.1210110460884 0.100762072518002 11.1253273982442 9.44584488585036e-29 7.40730954188844e-28
"SRSF4" 874.08349506188 1.60782514415606 0.0976426599759841 16.4664209736965 6.39432945720498e-61 1.34548410471028e-59
"MECR" 146.952240657293 -1.01020723539161 0.208387015841463 -4.84774558199996 1.24872401570064e-06 2.72076563074378e-06
"SDC3" 353.99089133188 -1.46034675722046 0.162802217172393 -8.97006676312083 2.96334762544484e-19 1.49984863284973e-18
"PUM1" 1198.48967046973 1.36785288303064 0.104960183363635 13.0321121704952 8.03521055678869e-39 8.75009578467618e-38
"TMEM39B" 80.1871223947208 -1.52912340872061 0.27190929441118 -5.62365259353098 1.86961461085012e-08 4.74957651140207e-08
"KPNA6" 1012.86716356663 1.11493232719942 0.0931869104021173 11.964473576689 5.45423983386734e-33 4.9453335077374e-32
"CCDC28B" 26.4505214861352 1.63553822216217 0.367543539058394 4.44991694413194 8.5903504257694e-06 1.73498798369794e-05
"MARCKSL1" 821.682807024286 -1.4001606199011 0.142661709905243 -9.81455094594826 9.74709872903203e-23 5.81687027541047e-22
"TMEM54" 280.216978513235 -1.06840157568415 0.216413335051665 -4.93685648081289 7.93918510175431e-07 1.75552883043397e-06
"RNF19B" 565.117784611768 1.66969399833075 0.105301157981957 15.8563688218589 1.27029348552602e-56 2.42204153205982e-55
"ZNF362" 100.129929147537 -1.71200731609499 0.256612477630614 -6.67156691639669 2.53086508169789e-11 7.93515222854698e-11
"ZSCAN20" 74.7674834551629 1.37363014504178 0.205199748683424 6.69411221921609 2.1698486236729e-11 6.82552442282812e-11
"AGO1" 201.456942290238 -1.36628538499965 0.178894753986179 -7.63736976381768 2.21704109408505e-14 8.50966754244926e-14
"ADPRHL2" 444.278403128179 2.38717005778757 0.127038934297521 18.7908539298425 8.97239567635804e-79 2.92516714596821e-77
"STK40" 359.047474719989 2.53839539505522 0.146311123570441 17.3492987621896 1.9966662052161e-67 5.05774223637834e-66
"ZC3H12A" 1412.16722529499 2.02444682896659 0.134211166194382 15.0840417110639 2.06247371183097e-51 3.40404840907351e-50
"SNIP1" 416.893539838033 3.5439354511356 0.118277805915266 29.9628102137308 2.99638414243564e-197 6.33016113930953e-195
"CDCA8" 186.644198192348 -2.53852046424293 0.244962637170425 -10.362888371735 3.6574742081132e-25 2.43900884219064e-24
"MANEAL" 130.795407949405 -1.06244647156705 0.203389198972791 -5.22371137175868 1.75372066169459e-07 4.11656696655109e-07
"YRDC" 313.629241951216 3.00316618400846 0.140296712103424 21.4058201292314 1.17927737287671e-101 6.07644238521789e-100
"RRAGC" 425.264421204854 1.0850293507275 0.119272614466045 9.097053465164 9.2815668966603e-20 4.83199561998141e-19
"AKIRIN1" 906.931083661633 1.57837621653361 0.0899011812664438 17.5567906260954 5.27760501519404e-69 1.38674979541031e-67
"KIAA0754" 237.570097238996 -1.88493689377824 0.244192134383945 -7.71907292810072 1.17178847675599e-14 4.57244243811359e-14
