"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"WASH7P" 26.6522469264354 -1.63081743486607 0.451941051550344 -3.60847378053332 0.000308003635396787 0.000649093961862149
"LOC100133331" 18.1836137813624 -1.68639340850045 0.444614588694832 -3.79293314115234 0.000148878251425003 0.000329248165912673
"KLHL17" 132.758351335568 -2.1233221938258 0.236063129107321 -8.99472188585826 2.36831063782483e-19 2.25139947748212e-18
"PLEKHN1" 74.9769679257117 -2.06880633999681 0.331504339716781 -6.2406614096343 4.35724508720748e-10 1.87845677092945e-09
"HES4" 127.391942677683 -1.19742785649802 0.278699497246122 -4.29648373366301 1.73528695249893e-05 4.38256174406433e-05
"ISG15" 200.859562021731 1.11678947099126 0.252290702640149 4.42659780683308 9.57309860677636e-06 2.49782767134718e-05
"C1orf159" 136.693274072889 -1.266072903829 0.229623331954277 -5.5136945059272 3.51378304926167e-08 1.23029382433373e-07
"MIB2" 246.551648562143 -1.05116980641601 0.217187190935662 -4.83992542049774 1.2988786273609e-06 3.80510416673178e-06
"SKI" 378.007149591568 -1.16729747037701 0.142935254218915 -8.16661695363983 3.17157917070403e-16 2.40068377111961e-15
"PEX10" 226.821279016437 -1.66184267775662 0.161962307578507 -10.2606754781577 1.05962901615821e-24 1.38585188180692e-23
"TPRG1L" 495.286278418071 1.00659723229375 0.111558572535293 9.02303793798812 1.82944185162445e-19 1.7550579521628e-18
"TP73-AS1" 182.477717931501 -1.05920187121698 0.161748712457272 -6.54844081987229 5.81408877738189e-11 2.76730549894832e-10
"NPHP4" 111.734492537243 -1.11826424081277 0.186411747934805 -5.99889359550383 1.98666478049423e-09 7.99243480816344e-09
"ERRFI1" 1844.81524765994 2.22658822550377 0.0749362564578711 29.7130965803656 5.20148986883356e-194 3.63272052439336e-191
"TMEM201" 137.53245730577 -1.15936856448375 0.193856718439543 -5.98054363973626 2.22394133434567e-09 8.88558711617284e-09
"NMNAT1" 161.476461260677 1.38982744740511 0.159649033394152 8.70551745824739 3.16129098459216e-18 2.76441438686039e-17
"UBE4B" 502.652706356463 -1.25055435494048 0.134310589117532 -9.31091407726723 1.26736880400525e-20 1.33705494368167e-19
"CLCN6" 210.526499806522 -1.09002431420006 0.153571775271093 -7.09781671974479 1.2674310856133e-12 7.07007883540197e-12
"PLOD1" 2346.74328841731 1.48883358191156 0.0823556011380191 18.0781095801418 4.74057721177434e-73 3.16320298538523e-71
"MIIP" 134.08502449664 -1.61259748064205 0.231031871669678 -6.97997842889697 2.95225389126971e-12 1.59833652531997e-11
"AGMAT" 87.2825337693588 -1.34265577251962 0.240218003734277 -5.58932199771683 2.27957904357724e-08 8.18398562731842e-08
"NBPF1" 362.720585015132 -1.21984844861607 0.139357982109333 -8.75334466065274 2.07120908888253e-18 1.84663714171348e-17
"CROCCP2" 153.528099016839 -1.35918078415651 0.200979836688209 -6.76277186086622 1.35376324931883e-11 6.87780009692731e-11
"CROCC" 131.757521438358 -2.51559016460285 0.208878304911285 -12.0433290842305 2.10294451939744e-33 4.38853521617681e-32
"ATP13A2" 515.275161367652 -1.11496985433877 0.132900823345631 -8.38948793747574 4.88264175072542e-17 3.94680208183638e-16
"KLHDC7A" 207.606401689329 1.05960306078608 0.139454223788113 7.59821418099206 3.00245117844078e-14 1.94158509539171e-13
"AKR7A2" 406.354025239224 -1.27036748850026 0.138241829004629 -9.1894580507736 3.94825498174227e-20 3.98861322938593e-19
"HP1BP3" 1378.04831222879 -1.42090683324855 0.0946242611706557 -15.0163057092296 5.74199369510832e-51 2.30471746934692e-49
"NBPF3" 107.156960963518 -1.24975830981772 0.192915846441601 -6.47825636343484 9.27886058433363e-11 4.32023748806574e-10
"RAP1GAP" 490.240181090851 -1.08107875731898 0.119402915774937 -9.05403984737449 1.3777451780309e-19 1.33641282268997e-18
"EPHB2" 1038.13744841556 -1.1902955686583 0.101668695134798 -11.7075916739183 1.1654304262377e-31 2.26093502690115e-30
"HMGCL" 335.03574074616 1.02299355606072 0.169481389866236 6.03602293365732 1.57958813845111e-09 6.4263166362772e-09
"IL22RA1" 37.9331261864807 -1.46905771123068 0.305355655702344 -4.81097266023032 1.50197563515755e-06 4.36710984010838e-06
"AUNIP" 63.8436326357952 -1.43074209460885 0.292546746568467 -4.89064435476128 1.00506417663601e-06 2.97683130179214e-06
"STMN1" 1482.22603463706 -1.48046584534073 0.102277734839298 -14.4749573078332 1.74434015270268e-47 6.30127842748735e-46
"ZNF593" 158.175143384882 -1.2186287019247 0.196068445869304 -6.21532290176371 5.12192120758827e-10 2.18919814649917e-09
"CEP85" 288.958682335706 -1.24513354837896 0.13832938160073 -9.00122254556788 2.23217960809531e-19 2.1297189047729e-18
"SH3BGRL3" 2442.16107209091 1.17188490719059 0.12720989989425 9.21221467955542 3.19464387122356e-20 3.25872338801733e-19
"HMGN2" 801.026943032159 -1.91549184599613 0.119727134369616 -15.9988114313562 1.30237760158003e-57 6.2874229281808e-56
"SLC9A1" 484.722863531886 1.35150182079463 0.122252521357763 11.0550016129284 2.0733310577857e-28 3.29593568457709e-27
