"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"ISG15" 674.8752009888 3.74371994084056 0.204556127520665 18.301675858927 8.02422282535104e-75 2.20987096610168e-71
"IFI6" 1161.42601865807 4.28152373346982 0.314339293580562 13.6207080085344 3.01629292864227e-42 3.56008745377749e-39
"IFI16" 922.029462910588 1.19990501086166 0.235516916828319 5.09477207421297 3.49161067853731e-07 4.97373921139229e-05
"IFIT2" 2399.31651527501 1.13354893839443 0.299467102308777 3.78522024507935 0.000153572507659881 0.0108445816947516
"IFIT3" 1206.17319862003 1.94147604827641 0.175676053896984 11.0514552507816 2.15689797345845e-28 1.27287793262241e-25
"IFIT1" 1687.1742832244 4.26834094192484 0.191144646999003 22.3304236291122 1.87145021204143e-110 1.54619216518863e-106
"IRF7" 387.529628310274 3.16441516359036 0.196209074914909 16.1277716892691 1.62788747072988e-58 2.24160104719505e-55
"OAS1" 1309.08489626434 1.51438868422196 0.111769677632074 13.549190767169 8.01083954714489e-42 8.27319454231388e-39
"OAS3" 2475.0191099928 1.36115535029062 0.128734560006724 10.5733483706281 3.96094838018825e-26 2.04533471981971e-23
"OASL" 737.112604021072 2.69064184886304 0.318864542991096 8.43819705892534 3.22269971497434e-17 1.21027022932355e-14
"IRF9" 468.13717370116 2.13368148156763 0.10517868300107 20.2862540268347 1.70070354859732e-91 7.02560635925552e-88
"IFI35" 513.342806810446 1.12248198691238 0.136582014453845 8.21837334440325 2.06281938003164e-16 7.10125571575894e-14
"SERPINB7" 198.659447239128 1.12303841792886 0.266811201591219 4.2091127030321 2.56375491450305e-05 0.00246299338414235
"EIF2AK2" 853.758555683623 1.20543760931606 0.13017037169602 9.26046068402608 2.03552050262879e-20 8.85130020669426e-18
"IL1A" 1045.1210326985 1.1753397333763 0.297411332231589 3.95189962856251 7.75332617275108e-05 0.00630815599014253
"IFIH1" 782.307217363359 1.78029940954029 0.165770793836624 10.7395239434932 6.63858121506311e-27 3.65653053325676e-24
"STAT1" 3665.00108836153 1.29554576754856 0.114004401691261 11.363997778411 6.31854766533875e-30 4.01568006238683e-27
"SP110" 420.679292571599 1.25217300598472 0.148601038846407 8.42640815774484 3.56437335681369e-17 1.28038489886933e-14
"HELZ2" 1106.98616478687 1.47123002491153 0.172111336407854 8.54812969103406 1.25099104237547e-17 4.92175618671721e-15
"MX1" 1047.07680507325 5.01778163204641 0.294411788066847 17.0434127824634 3.91221147357163e-65 6.46453823892976e-62
"PARP9" 745.496889823411 2.04599376449225 0.114229752242698 17.9112159864029 9.64062567577601e-72 1.99127123333153e-68
"DTX3L" 765.451388734501 1.35120935877002 0.101904164023227 13.2596088856784 3.96960640414446e-40 3.64409867900462e-37
"PLSCR1" 1846.70155023112 1.04977244163862 0.09212028944878 11.3956702472402 4.39435228445869e-30 3.02551154784981e-27
"HERC6" 230.517078395748 1.43194266926957 0.142793456152934 10.0280692676557 1.14738203919286e-23 5.57627671047732e-21
"DDX60" 434.873603969177 2.27022172532141 0.183226043116311 12.3902786236577 2.95016617238368e-35 2.21584299238491e-32
"CFB" 1855.60765245995 1.08733518293355 0.144355325884146 7.53235238307875 4.98342503230283e-14 1.47046634346021e-11
"SAMD9" 1341.73484051234 1.63051575745126 0.260584116042279 6.25715712152892 3.92058376690079e-10 7.71234835288912e-08
"SAMD9L" 348.689978864005 1.84656200649692 0.249885802132706 7.38962354298251 1.47245100780562e-13 3.92431942790001e-11
"PARP10" 377.462862406654 1.87881724792713 0.289939759363194 6.48002623735928 9.17066697096355e-11 2.04778514902975e-08
"DDX58" 941.892486611843 1.73983475018221 0.136806968798664 12.7174424333799 4.73092790597108e-37 3.90869263591331e-34
"TRIM14" 472.768332536596 1.11600382977527 0.112183924409986 9.94798350694826 2.57344772727519e-23 1.18121250681931e-20
