genes,Calu3_polyA_series1-S2-4h-A,Calu3_polyA_series1-S2-4h-B,Calu3_polyA_series1-mock-4h-A,Calu3_polyA_series1-mock-4h-B,Calu3_polyA_series2-4h-S2-1,Calu3_polyA_series2-4h-S2-2,Calu3_polyA_series2-4h-mock-1,Calu3_polyA_series2-4h-mock-2
ETV5-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC01299,0.0,0.028999999999999998,0.0,0.0,0.0,0.0,0.113,0.0
MLLT3,4.435,4.974,5.079,5.586,4.34,4.835,4.643,4.41
SCGB3A2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SEPT10P1,1.2590000000000001,0.733,0.866,0.89,0.628,0.483,0.0,0.841
POTEKP,0.0,0.057999999999999996,0.083,0.0,0.019,0.021,0.111,0.0
PPFIA4,0.038,0.0,0.046,0.01,0.183,0.145,0.12300000000000001,0.161
ECH1,55.886,54.614,61.037,61.306999999999995,73.08800000000001,74.834,89.75200000000001,88.073
AC131009.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL590762.1,3.597,3.766,4.141,3.9189999999999996,5.071000000000001,3.767,0.691,5.431
LHX4,0.06,0.064,0.055,0.09300000000000001,0.069,0.046,0.049,0.021
LSP1,0.0,0.028999999999999998,0.0,0.017,0.048,0.031,0.0,0.024
ZNF175,1.652,1.505,1.629,1.6369999999999998,1.844,1.794,0.644,1.3980000000000001
SPCS2P3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDCBP2P1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.106
HELLPAR,0.009000000000000001,0.013999999999999999,0.015,0.018000000000000002,0.008,0.006999999999999999,0.138,0.009000000000000001
TRUB1,13.765999999999998,14.035,14.196,13.957,11.16,11.132,8.791,11.282
AC137770.1,0.0,0.0,0.0,0.0,0.19699999999999998,0.106,0.563,0.0
AP001324.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPL10P7,0.0,0.248,0.0,0.0,0.0,0.0,0.0,0.0
ITPKC,16.408,15.765,15.465,14.739,13.025,11.568,5.482,11.873
MIR5192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL671762.1,66.622,66.828,74.32300000000001,68.251,70.827,71.577,96.148,84.167
HYAL1,0.17800000000000002,0.151,0.07200000000000001,0.183,0.11800000000000001,0.146,0.0,0.14800000000000002
UGT2B15,0.9209999999999999,0.508,0.47200000000000003,0.7490000000000001,2.016,1.946,1.399,1.8330000000000002
SLC5A9,0.0,0.017,0.025,0.040999999999999995,0.057999999999999996,0.012,0.066,0.043
LINC01880,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMEM200A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRPF4B,11.440999999999999,11.405999999999999,11.672,11.918,9.907,9.632,5.2410000000000005,7.934
AL137077.1,0.0,0.293,0.212,0.0,0.0,0.0,0.565,0.0
FADS2,1.568,1.4280000000000002,1.393,1.364,1.871,1.8659999999999999,0.523,1.9609999999999999
CARD14,0.327,0.375,0.32899999999999996,0.35600000000000004,0.252,0.218,0.157,0.165
AL353608.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11
CCDC190,0.021,0.018000000000000002,0.0,0.0,0.0,0.0,0.0,0.03
AC021713.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPATA45,0.0,0.153,0.221,0.0,0.0,0.111,0.0,0.0
HOXA2,0.27399999999999997,0.39799999999999996,0.527,0.564,0.201,0.192,0.128,0.447
RNU6-892P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC079768.1,0.514,0.327,0.157,0.397,0.7340000000000001,0.631,0.0,0.825
SNRPE,19.117,19.256,19.941,18.722,31.998,31.697,137.474,37.351
AC079834.2,0.42200000000000004,0.04,0.115,0.048,0.107,0.14400000000000002,0.0,0.1
AC011498.4,0.253,0.365,0.27899999999999997,0.209,0.46299999999999997,0.311,0.248,0.19899999999999998
HNRNPA1,90.314,88.561,93.84200000000001,93.029,124.12700000000001,129.91299999999998,101.155,121.038
PPP2R2A,12.800999999999998,12.960999999999999,12.450999999999999,12.285,11.777000000000001,11.454,8.405,11.277999999999999
ATP2C2-AS1,0.457,0.491,0.447,0.188,0.226,0.15,0.0,0.28300000000000003
TNRC18P1,0.025,0.042,0.031,0.026000000000000002,0.028999999999999998,0.0,0.0,0.0
AOX3P-AOX2P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IRAK3,0.434,0.457,0.637,0.465,0.22899999999999998,0.22399999999999998,0.11900000000000001,0.261
ZFAND1,6.399,6.2139999999999995,5.876,6.027,8.182,7.776,8.075,7.547999999999999
CYP4F9P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IRAK1,107.885,107.32799999999999,100.524,108.616,77.395,71.71,29.871,82.307
WFIKKN2,0.0,0.02,0.027999999999999997,0.0,0.013000000000000001,0.013999999999999999,0.075,0.0
DUSP15,0.024,0.061,0.028999999999999998,0.124,0.027999999999999997,0.015,0.079,0.052000000000000005
UBE2S,24.004,20.814,21.169,22.449,20.965,24.336,42.869,34.137
NCOA1,2.3080000000000003,2.5669999999999997,2.59,2.0380000000000003,1.42,1.391,1.1059999999999999,1.072
AC087516.2,0.025,0.0,0.0,0.0,0.0,0.0,0.081,0.018000000000000002
DDX10,6.607,6.671,6.521,6.318,5.079,4.955,5.653,4.476
SPA17,0.966,1.131,1.074,1.03,1.744,1.574,2.4090000000000003,1.665
AL136099.1,0.0,0.0,0.0,0.0,0.0,0.0,4.287,0.11699999999999999
AP006216.1,0.0,0.37,0.267,0.22399999999999998,0.622,0.0,0.7120000000000001,0.0
CDK19,2.6069999999999998,2.503,2.34,2.572,2.845,2.73,2.5380000000000003,2.2
KCNA7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015
RN7SL468P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCDC124,27.570999999999998,29.711,28.201999999999998,30.92,32.973,30.538,23.361,36.14
GDNF-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.151,0.0
CCT6P4,0.0,0.0,0.0,0.0,0.066,0.0,0.0,0.040999999999999995
LINC02292,0.0,0.228,0.066,0.166,0.0,0.033,0.0,0.192
EIF6,182.893,181.56,189.118,191.674,184.959,179.207,217.59400000000002,213.394
SMIM29,25.473000000000003,23.79,22.706999999999997,24.146,31.475,31.002,43.18899999999999,38.387
GPR155,0.447,0.439,0.245,0.41200000000000003,0.45,0.303,0.615,0.478
CD27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC01887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NUP58,6.34,6.864,6.141,6.479,4.28,4.167,2.498,3.8689999999999998
AC019257.9,0.0,0.0,0.037000000000000005,0.0,0.0,0.0,0.0,0.0
AMER3,0.0,0.0,0.017,0.0,0.0,0.0,0.0,0.0
MIR548AA1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC116049.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPP38,13.498,14.049000000000001,12.107000000000001,10.186,14.27,13.751,19.022000000000002,12.157
NRG1,2.6830000000000003,2.4530000000000003,2.403,2.2680000000000002,4.156000000000001,4.015,4.492,4.944
PLEKHO1,0.221,0.327,0.27,0.525,0.307,0.305,0.27,0.462
AC007494.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.086
AL022237.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MYO5B,17.662,17.803,17.067,17.854,10.155,11.03,4.435,9.203
PABPC1,136.35399999999998,137.346,126.41,127.35,128.671,127.103,132.291,102.583
DISC1,0.184,0.18600000000000003,0.126,0.16,0.10800000000000001,0.161,0.09300000000000001,0.083
SLC1A2,0.016,0.003,0.005,0.004,0.011000000000000001,0.006999999999999999,0.14400000000000002,0.006
AC244517.6,0.7240000000000001,0.737,0.44299999999999995,1.2670000000000001,0.6609999999999999,0.35600000000000004,0.0,0.826
AC093567.1,0.0,0.08800000000000001,0.0,0.0,0.0,0.0,0.0,0.07400000000000001
FGFR4,43.177,43.552,40.791,40.656,51.976000000000006,50.522,35.123000000000005,50.976000000000006
AL022334.1,0.106,0.0,0.13,0.054000000000000006,0.06,0.033,0.17300000000000001,0.0
AP001330.5,0.222,0.0,0.0,0.22899999999999998,0.127,0.13699999999999998,0.726,0.317
AL023803.3,0.35,0.89,0.214,0.0,0.2,0.107,1.1440000000000001,0.375
MIR3196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RN7SL192P,0.306,0.0,0.0,0.629,0.349,0.188,0.0,0.218
PECAM1,0.012,0.01,0.0,0.012,0.013000000000000001,0.0,0.039,0.0
DEPDC1,5.125,5.131,5.965,5.401,8.685,8.43,7.432,7.496
MAS1,0.009000000000000001,0.0,0.0,0.0,0.0,0.006,0.061,0.0
MRPL55,15.267000000000001,16.143,14.464,15.162,21.378,21.034000000000002,45.738,26.195
AC010255.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC114763.1,0.48700000000000004,0.413,0.341,0.716,0.675,0.513,0.22699999999999998,0.298
ZNF132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019
MYPOP,7.425,7.232,6.0729999999999995,6.598,5.337000000000001,5.83,4.408,4.881
STEAP2-AS1,0.0,0.064,0.0,0.0,0.0,0.0,0.0,0.0
RPL12P17,0.0,0.0,0.0,0.18899999999999997,0.0,0.0,0.0,0.0
ADH5,24.965999999999998,24.487,28.995,26.116,36.96,35.861999999999995,41.405,40.183
SNX19,11.404000000000002,11.889000000000001,10.491,10.719000000000001,7.505,7.619,4.65,5.9639999999999995
SETP16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RF00322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC01448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055999999999999994
BAHCC1,0.0,0.023,0.025,0.0,0.015,0.008,0.022000000000000002,0.0
TMEM106C,16.283,16.453,18.081,15.619000000000002,20.609,20.991,23.706999999999997,23.37
PRDX3P1,0.0,0.305,0.0,0.12300000000000001,0.068,0.07400000000000001,0.0,0.0
RNU6-287P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RNU6-1241P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC02397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC012368.1,0.0,0.063,0.13699999999999998,0.0,0.106,0.13699999999999998,0.0,0.0
PRDM8,0.498,0.557,0.268,0.39,0.466,0.26899999999999996,0.13,0.54
UTRN,6.046,6.886,6.369,6.621,3.654,3.55,1.2670000000000001,3.008
LINC01342,0.113,0.43,0.276,0.406,0.258,0.27699999999999997,0.0,0.04
AP000813.1,0.0,0.0,0.0,0.0,0.027999999999999997,0.0,0.0,0.017
PACRG,0.07,0.059000000000000004,0.043,0.07200000000000001,0.08,0.021,0.34299999999999997,0.075
CDC20P1,0.792,1.136,0.9690000000000001,0.627,1.8430000000000002,1.421,0.597,1.651
AC091868.1,0.301,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC008581.1,0.237,0.201,0.0,0.489,0.0,0.146,0.0,0.0
TUSC1,8.82,8.684,8.935,8.801,8.083,7.356,11.055,8.354
HAUS1,12.552999999999999,12.065,12.662,12.296,14.498,17.132,19.298,16.61
MIP,0.026000000000000002,0.011000000000000001,0.047,0.04,0.022000000000000002,0.039,0.21,0.073
TPSAB1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC048344.4,0.6940000000000001,0.588,0.212,0.35700000000000004,0.594,0.958,0.5660000000000001,0.371
AC068647.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PDIA3P1,8.226,8.183,8.835,8.079,8.808,7.359,4.709,7.893
AL390955.1,0.098,0.166,0.0,0.0,0.11199999999999999,0.06,0.0,0.07
ATP6V1H,5.086,4.4319999999999995,5.191,5.3260000000000005,4.2,4.002,3.86,3.92
AC021766.1,0.247,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EDARADD,0.275,0.262,0.40700000000000003,0.271,0.177,0.23199999999999998,0.187,0.139
AL137246.1,0.094,0.0,0.0,0.096,0.0,0.057,0.0,0.067
AC133565.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BX649632.1,0.094,0.0,0.0,0.09699999999999999,0.0,0.0,0.0,0.0
OSBPL8,11.399000000000001,12.339,10.83,11.27,8.432,8.492,4.543,6.817
AL122035.2,0.293,0.414,0.12,0.201,0.16699999999999998,0.51,0.638,0.209
EEF1GP5,0.14,0.059000000000000004,0.0,0.0,0.11900000000000001,0.0,0.228,0.05
AC010531.7,0.0,0.0,0.0,0.0,0.0,0.121,0.0,0.0
AC009812.1,0.32799999999999996,0.741,0.1,0.253,0.406,0.604,0.179,0.37
TTC16,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.0
AC012513.3,4.838,4.43,4.808,5.023,0.789,0.902,1.128,0.8009999999999999
AC244502.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF1,6.17,6.121,6.92,6.612,4.64,4.485,3.6210000000000004,3.9330000000000003
STK3,1.791,2.016,1.765,1.59,2.185,2.141,1.989,1.986
LINC00052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SETDB1,6.521,6.39,5.595,5.2379999999999995,5.045,5.316,3.282,4.273
AC069549.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC016582.2,2.745,2.597,2.733,2.496,2.7319999999999998,2.782,0.41700000000000004,2.367
AC134349.2,0.1,0.085,0.24600000000000002,0.0,0.057,0.0,0.0,0.0
AC009411.2,0.0,0.040999999999999995,0.0,0.0,0.0,0.0,0.0,0.0
RF00019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GYS2,0.0,0.049,0.018000000000000002,0.015,0.008,0.018000000000000002,0.0,0.021
AL160286.3,0.0,0.0,0.0,0.0,0.0,0.0,0.45299999999999996,0.02
DENND1A,1.3730000000000002,1.45,1.123,1.348,0.6920000000000001,0.821,0.669,0.763
LINC01608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRBV9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAMP5,0.40299999999999997,0.266,0.602,0.415,0.204,0.055,0.146,0.192
AL139424.3,0.0,0.0,0.0,0.0,0.022000000000000002,0.024,0.627,0.0
LINC02272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NMB,12.79,11.219000000000001,12.908,12.241,21.997,26.243000000000002,63.083999999999996,32.333
XKRX,0.10800000000000001,0.115,0.166,0.16699999999999998,0.062,0.15,0.177,0.09699999999999999
ERGIC1,24.426,25.423000000000002,24.726999999999997,23.933000000000003,25.938000000000002,25.587,13.89,25.733
HLA-A,187.636,164.345,191.955,184.65599999999998,159.964,158.012,233.53599999999997,193.84
CNFN,0.447,0.0,0.365,0.46,0.851,0.275,5.356,0.7440000000000001
RNU7-195P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RNU105B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC239859.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MTND1P32,0.09699999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL035250.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC015802.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC137723.1,0.45899999999999996,0.195,0.0,0.23600000000000002,0.131,0.282,0.0,0.16399999999999998
COPE,24.927,22.433000000000003,24.635,24.342,29.491,28.641,40.646,38.88
RF00019,0.8959999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC02299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASCL2,0.0,0.0,0.0,0.0,0.027999999999999997,0.0,0.0,0.0
NUPL2,13.569,12.995,12.793,12.385,12.956,13.254000000000001,9.259,12.73
AC093668.1,0.253,0.442,0.396,0.405,0.23,0.43200000000000005,0.508,0.252
AC007842.1,1.0759999999999998,0.8740000000000001,1.206,1.153,0.409,0.44,0.0,0.256
AC084364.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR645,0.0,1.6480000000000001,1.189,0.0,0.0,0.0,0.0,0.0
AL137220.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RF00019,0.0,0.0,0.9890000000000001,0.0,0.0,0.0,0.0,0.0
TENT2,10.306,10.085,10.839,9.033999999999999,9.773,9.545,8.887,8.484
RSPH3,2.9539999999999997,2.7039999999999997,2.3,2.452,2.806,2.728,1.456,2.056
AC096751.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TGIF2P1,0.267,0.226,0.0,0.0,0.076,0.0,0.0,0.0
RF00019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SP8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RBL2,9.885,9.039,10.06,8.412,8.146,8.113999999999999,4.846,7.407
MIR590,2.827,0.799,2.305,1.939,0.5379999999999999,0.578,0.0,1.344
TP53TG5,0.031,0.13,0.038,0.032,0.12300000000000001,0.057,0.2,0.022000000000000002
AC012447.1,0.134,0.22699999999999998,0.32799999999999996,0.276,0.9940000000000001,0.6579999999999999,0.43799999999999994,0.573
MAGEA8-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RF00019,0.0,1.371,0.9890000000000001,0.0,0.0,0.0,0.0,0.0
AKTIP,5.103,5.1,5.186,5.233,5.131,5.497999999999999,5.516,5.144
COQ10A,3.326,3.2969999999999997,2.93,3.0460000000000003,1.85,2.1630000000000003,3.037,2.492
ZNF502,0.27899999999999997,0.45,0.342,0.374,0.494,0.41100000000000003,0.27399999999999997,0.27899999999999997
NUDT19P5,0.0,0.0,0.589,0.0,0.0,0.099,0.0,0.0
WDTC1,4.083,3.945,3.594,4.137,3.0180000000000002,3.1519999999999997,1.111,2.988
AC108112.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PANK4,3.918,3.8819999999999997,4.07,3.388,3.91,3.2510000000000003,1.986,3.9930000000000003
LGALSL,4.555,4.156000000000001,3.98,4.2330000000000005,6.353,6.12,6.147,5.32
RPL36P4,0.0,0.244,0.0,0.0,0.0,0.0,0.0,0.0
AL121820.2,0.32799999999999996,0.278,0.401,1.686,0.561,1.609,5.349,0.23399999999999999
AC026412.2,0.85,0.7929999999999999,0.52,0.7879999999999999,0.631,1.0959999999999999,0.0,0.606
RARRES2P11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AHNAK,85.601,91.525,86.666,90.932,44.11,44.231,20.93,38.528
AC091152.4,0.105,0.055999999999999994,0.209,0.135,0.075,0.226,0.129,0.084
COX6B1,85.50399999999999,82.02600000000001,97.065,85.73899999999999,143.215,152.635,430.949,192.247
AL441883.1,0.787,0.667,0.535,1.44,0.799,0.43,0.5710000000000001,0.187
AL109767.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL031659.1,0.0,0.0,0.0,0.0,0.19399999999999998,0.0,0.5539999999999999,0.0
P3H2,1.3780000000000001,1.126,1.023,1.148,0.48700000000000004,0.534,1.125,0.69
RN7SKP276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CEBPA,0.49200000000000005,0.32799999999999996,0.129,0.36200000000000004,0.08,0.21600000000000003,0.0,0.1
ZNF22,24.124000000000002,24.314,22.805999999999997,22.23,22.991999999999997,23.933000000000003,17.741,23.523000000000003
PDE11A,0.063,0.085,0.032,0.035,0.051,0.039,0.09699999999999999,0.061
NDUFB4P9,0.0,0.0,0.0,0.0,0.0,0.145,0.0,0.0
TLN1,28.753,29.915,27.723000000000003,30.502,18.070999999999998,17.664,3.415,16.69
ELMO3,14.696,14.923,15.196,14.648,17.36,16.320999999999998,17.503,18.199
ADD3-AS1,0.01,0.017,0.0,0.01,0.006,0.012,0.033,0.013999999999999999
SULT1E1,0.0,0.0,0.054000000000000006,0.068,0.113,0.054000000000000006,0.0,0.094
UGDH,16.692,17.092,17.637999999999998,17.738,13.503,13.16,12.829,13.651
DPM3,7.642,7.722,7.909,9.679,16.855999999999998,17.861,63.823,25.463
MOB4,14.312999999999999,13.342,13.821,14.375,13.26,13.197000000000001,21.284000000000002,13.74
LINC01124,0.13,0.146,0.264,0.044000000000000004,0.07400000000000001,0.106,0.0,0.21600000000000003
AL590666.4,0.0,0.0,0.0,0.0,0.055,0.0,0.312,0.0
AC073091.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC107959.2,0.0,0.08800000000000001,0.127,0.0,0.0,0.0,0.113,0.025
