genes,Calu3_polyA_series2-8h-S2-1,Calu3_polyA_series2-8h-S2-2
ETV5-AS1,0.0,0.0
LINC01299,0.0,0.0
MLLT3,6.434,6.244
SCGB3A2,0.0,0.0
SEPT10P1,0.763,0.887
POTEKP,0.021,0.0
PPFIA4,0.028999999999999998,0.08900000000000001
ECH1,64.899,71.247
AC131009.2,0.0,0.0
AL590762.1,6.539,4.508
LHX4,0.036000000000000004,0.038
LSP1,0.021,0.011000000000000001
ZNF175,1.913,1.6
SPCS2P3,0.0,0.0
SDCBP2P1,0.0,0.0
HELLPAR,0.006,0.008
TRUB1,11.45,9.772
AC137770.1,0.0,0.0
AP001324.3,0.0,0.0
RPL10P7,0.0,0.0
ITPKC,16.39,16.136
MIR5192,1.204,0.0
AL671762.1,74.95,78.972
HYAL1,0.126,0.16699999999999998
UGT2B15,1.6740000000000002,1.584
SLC5A9,0.0,0.038
LINC01880,0.0,0.0
TMEM200A,0.0,0.0
PRPF4B,10.146,9.363999999999999
AL137077.1,0.0,0.0
FADS2,2.548,2.679
CARD14,0.396,0.319
AL353608.4,0.0,0.0
CCDC190,0.0,0.0
AC021713.1,0.0,0.0
SPATA45,0.109,0.113
HOXA2,0.237,0.41700000000000004
RNU6-892P,0.0,0.0
AC079768.1,1.246,0.9670000000000001
SNRPE,25.563000000000002,31.119
AC079834.2,0.284,0.20600000000000002
AC011498.4,0.353,0.381
HNRNPA1,116.125,116.721
PPP2R2A,13.395,13.027999999999999
ATP2C2-AS1,0.24,0.172
TNRC18P1,0.03,0.016
AOX3P-AOX2P,0.0,0.0
IRAK3,0.19399999999999998,0.261
ZFAND1,6.519,5.791
CYP4F9P,0.0,0.0
IRAK1,75.735,79.991
WFIKKN2,0.0,0.028999999999999998
DUSP15,0.073,0.0
UBE2S,22.261999999999997,26.379
NCOA1,1.617,1.327
AC087516.2,0.0,0.016
DDX10,4.454,4.718999999999999
SPA17,1.288,1.629
AL136099.1,0.0,0.0
AP006216.1,0.0,0.0
CDK19,3.108,2.637
KCNA7,0.0,0.0
RN7SL468P,0.0,0.0
CCDC124,32.111999999999995,38.071999999999996
GDNF-AS1,0.0,0.006
CCT6P4,0.035,0.0
LINC02292,0.033,0.10099999999999999
EIF6,167.94400000000002,192.87900000000002
SMIM29,36.598,42.086000000000006
GPR155,0.349,0.273
CD27,0.0,0.040999999999999995
LINC01887,0.0,0.0
NUP58,4.694,4.282
AC019257.9,0.0,0.0
AMER3,0.0,0.009000000000000001
MIR548AA1,0.0,0.0
AC116049.2,0.0,0.0
RPP38,14.177,15.433
NRG1,4.206,4.604
PLEKHO1,0.384,0.37200000000000005
AC007494.1,0.0,0.0
AL022237.1,0.0,0.0
MYO5B,10.245999999999999,9.237
PABPC1,130.995,124.34100000000001
DISC1,0.187,0.133
SLC1A2,0.005,0.013000000000000001
AC244517.6,0.746,0.9990000000000001
AC093567.1,0.063,0.0
FGFR4,54.443000000000005,53.97
AL022334.1,0.096,0.033
AP001330.5,0.27,0.139
AL023803.3,0.318,0.21899999999999997
MIR3196,0.0,0.0
RN7SL192P,0.37,0.192
PECAM1,0.0,0.0
DEPDC1,8.931000000000001,8.877
MAS1,0.0,0.006
MRPL55,21.996,25.877
AC010255.1,0.0,0.0
AC114763.1,0.7170000000000001,0.654
ZNF132,0.016,0.0
MYPOP,5.521,4.9239999999999995
STEAP2-AS1,0.046,0.0
RPL12P17,0.0,0.115
ADH5,32.725,32.531
SNX19,7.412999999999999,6.591
SETP16,0.0,0.0
RF00322,0.0,0.0
LINC01448,0.0,0.0
BAHCC1,0.012,0.021
TMEM106C,21.454,23.061
PRDX3P1,0.073,0.075
RNU6-287P,0.0,0.0
RNU6-1241P,0.0,0.0
LINC02397,0.0,0.0
AC012368.1,0.09,0.14
PRDM8,0.447,0.524
UTRN,4.544,3.667
LINC01342,0.308,0.248
AP000813.1,0.0,0.015
PACRG,0.042,0.11
CDC20P1,1.329,1.604
AC091868.1,0.0,0.0
AC008581.1,0.0,0.0
TUSC1,8.206,8.821
HAUS1,16.101,18.084
MIP,0.008,0.016
TPSAB1,0.0,0.0
AC048344.4,0.105,0.435
AC068647.2,0.0,0.0
PDIA3P1,8.28,9.002
AL390955.1,0.11900000000000001,0.061
ATP6V1H,4.265,4.321000000000001
AC021766.1,0.0,0.0
EDARADD,0.174,0.14400000000000002
AL137246.1,0.0,0.0
AC133565.1,0.0,0.0
BX649632.1,0.0,0.0
OSBPL8,8.418,7.3420000000000005
AL122035.2,0.237,0.39799999999999996
EEF1GP5,0.127,0.044000000000000004
AC010531.7,0.0,0.0
AC009812.1,0.39799999999999996,0.27399999999999997
TTC16,0.0,0.0
AC012513.3,0.968,0.596
AC244502.2,0.0,0.0
TTF1,4.479,4.508
STK3,2.215,2.291
LINC00052,0.0,0.0
SETDB1,6.3020000000000005,5.693
AC069549.1,0.0,0.0
AC016582.2,2.862,2.8
AC134349.2,0.0,0.0
AC009411.2,0.0,0.0
RF00019,0.0,0.0
GYS2,0.018000000000000002,0.009000000000000001
AL160286.3,0.017,0.052000000000000005
DENND1A,0.945,0.787
LINC01608,0.0,0.0
TRBV9,0.0,0.0
LAMP5,0.163,0.055999999999999994
AL139424.3,0.0,0.0
LINC02272,0.0,0.0
NMB,18.968,23.316
XKRX,0.214,0.102
ERGIC1,26.424,25.276999999999997
HLA-A,163.787,173.248
CNFN,0.9940000000000001,1.215
RNU7-195P,0.0,0.0
RNU105B,0.0,0.0
AC239859.6,0.0,0.0
MTND1P32,0.0,0.0
AL035250.1,0.0,0.0
AC015802.1,0.0,0.04
AC137723.1,0.0,0.14400000000000002
COPE,27.694000000000003,32.436
RF00019,0.0,0.0
LINC02299,0.0,0.0
ASCL2,0.0,0.062
NUPL2,12.294,12.043
AC093668.1,0.28600000000000003,0.39
AC007842.1,0.679,0.365
AC084364.2,0.0,0.0
MIR645,0.589,0.0
AL137220.1,0.0,0.0
RF00019,0.0,0.0
TENT2,10.066,8.777000000000001
RSPH3,2.549,2.4530000000000003
AC096751.2,0.0,0.0
TGIF2P1,0.081,0.0
RF00019,0.0,0.0
SP8,0.0,0.0
RBL2,9.427,8.023
MIR590,0.0,1.181
TP53TG5,0.09300000000000001,0.077
AC012447.1,0.812,0.588
MAGEA8-AS1,0.0,0.0
RF00019,0.0,0.0
AKTIP,5.416,5.247999999999999
COQ10A,2.22,2.173
ZNF502,0.542,0.49
NUDT19P5,0.0,0.0
WDTC1,3.87,2.946
AC108112.1,0.0,0.0
PANK4,4.055,3.8680000000000003
LGALSL,6.112,6.044
RPL36P4,0.0,0.0
AL121820.2,0.19899999999999998,0.41100000000000003
AC026412.2,0.721,0.639
RARRES2P11,0.0,0.0
AHNAK,44.501000000000005,35.282
AC091152.4,0.04,0.025
COX6B1,147.52,174.729
AL441883.1,0.583,0.603
AL109767.1,0.0,0.0
AL031659.1,0.0,0.0
P3H2,0.517,0.534
RN7SKP276,0.0,0.0
CEBPA,0.106,0.17600000000000002
ZNF22,25.730999999999998,27.619
PDE11A,0.11199999999999999,0.077
NDUFB4P9,0.0,0.0
TLN1,19.256,15.57
ELMO3,18.025,16.660999999999998
ADD3-AS1,0.006,0.0
SULT1E1,0.133,0.20600000000000002
UGDH,12.632,12.104000000000001
DPM3,16.919,19.063
MOB4,10.867,11.956
LINC01124,0.052000000000000005,0.135
AL590666.4,0.057999999999999996,0.0
AC073091.2,0.0,0.0
AC107959.2,0.021,0.022000000000000002
RPL9,47.986999999999995,57.714
AVIL,0.56,0.365
AC207130.1,0.071,0.024
TEX54,0.057,0.0
RNU1-72P,0.0,0.0
OR2M4,0.0,0.0
TMEM43,31.64,30.3
AC008280.1,0.0,0.0
PCSK6,0.008,0.017
AC115284.1,8.86,9.006
LINC02000,0.0,0.0
EID2,13.498,12.588
ELL,3.03,2.7489999999999997
CDAN1,2.2569999999999997,2.019
STAU2-AS1,0.0,0.0
PLSCR4,3.116,2.762
ATP5MC2P1,0.0,0.0
CTR9,15.935,15.546
MRPS33P3,0.0,0.0
AC091860.1,0.0,0.0
SLC51A,0.011000000000000001,0.044000000000000004
LINC00851,0.0,0.0
RNU1-87P,0.0,0.0
OGDHL,0.077,0.06
CCR5,0.0,0.0
ZNF426-DT,0.256,0.46399999999999997
AC093495.1,0.069,0.064
TERF2IP,14.957,15.789000000000001
TMPO-AS1,2.2769999999999997,1.7919999999999998
FAM90A27P,0.0,0.0
MT1HL1,0.0,0.0
MIR26A2,0.0,0.682
AL583722.1,0.297,0.263
DHRS4L2,1.493,2.311
BCL10,9.859,9.315
AP003108.2,2.551,2.806
RF00012,0.0,0.0
RPS12P18,0.0,0.212
AC010186.1,0.0,0.10800000000000001
LINC01731,0.0,0.0
STAG3,0.052000000000000005,0.027999999999999997
MTMR7,0.0,0.008
LINC02273,0.0,0.027000000000000003
EGFEM1P,0.071,0.061
KRT18P12,0.087,0.09
FAM220A,7.731,8.103
TM9SF1,15.377,15.299000000000001
ITGB3,0.032,0.026000000000000002
AC109492.1,0.085,0.0
AC034231.1,0.0,0.42700000000000005
AL596223.1,0.0,0.0
ERRFI1,21.869,20.752
TMEM198,2.084,2.2
KNSTRN,10.368,12.055
RNH1,29.023000000000003,31.359
SNORD58B,89.93700000000001,104.295
AP000350.1,0.0,0.0
RPL35P4,0.172,0.0
AC090615.1,0.0,0.0
AC092112.1,0.0,0.09
