genes,H1299_polyA_S2-12h-A,H1299_polyA_S2-12h-B
ETV5-AS1,0.0,0.0
LINC01299,0.0,0.0
MLLT3,4.085,4.046
SCGB3A2,0.0,0.0
SEPT10P1,1.702,1.972
POTEKP,1.169,1.044
PPFIA4,0.113,0.087
ECH1,38.306999999999995,36.909
AC131009.2,0.0,0.0
AL590762.1,3.255,2.7060000000000004
LHX4,0.166,0.2
LSP1,0.0,0.0
ZNF175,0.83,0.9840000000000001
SPCS2P3,0.0,0.0
SDCBP2P1,0.0,0.0
HELLPAR,0.028999999999999998,0.026000000000000002
TRUB1,10.037,9.873
AC137770.1,0.0,0.08800000000000001
AP001324.3,0.0,0.0
RPL10P7,0.0,0.0
ITPKC,10.960999999999999,11.093
MIR5192,0.478,0.0
AL671762.1,36.824,33.873000000000005
HYAL1,0.027999999999999997,0.015
UGT2B15,0.0,0.0
SLC5A9,0.0,0.0
LINC01880,0.0,0.0
TMEM200A,7.002999999999999,6.727
PRPF4B,25.709,26.354
AL137077.1,0.083,0.0
FADS2,1.705,1.56
CARD14,0.0,0.0
AL353608.4,0.0,0.0
CCDC190,0.0,0.0
AC021713.1,0.0,0.0
SPATA45,0.174,0.046
HOXA2,0.075,0.02
RNU6-892P,0.0,0.0
AC079768.1,0.68,0.5920000000000001
SNRPE,15.825,14.475999999999999
AC079834.2,0.0,0.0
AC011498.4,0.012,0.013000000000000001
HNRNPA1,220.801,221.063
PPP2R2A,8.859,8.865
ATP2C2-AS1,0.425,0.39
TNRC18P1,0.012,0.013000000000000001
AOX3P-AOX2P,0.018000000000000002,0.0
IRAK3,0.28300000000000003,0.287
ZFAND1,20.185,19.45
CYP4F9P,0.0,0.0
IRAK1,102.831,103.06
WFIKKN2,0.0,0.0
DUSP15,0.568,0.604
UBE2S,49.126999999999995,46.81399999999999
NCOA1,4.765,4.928
AC087516.2,0.0,0.0
DDX10,8.579,9.22
SPA17,4.281000000000001,4.455
AL136099.1,0.0,0.0
AP006216.1,0.21,0.67
CDK19,5.978,5.9510000000000005
KCNA7,0.09,0.021
RN7SL468P,0.0,0.0
CCDC124,104.561,107.27600000000001
GDNF-AS1,0.0,0.005
CCT6P4,0.0,0.0
LINC02292,0.0,0.0
EIF6,196.644,184.872
SMIM29,7.7010000000000005,7.291
GPR155,0.498,0.385
CD27,0.0,0.0
LINC01887,0.0,0.0
NUP58,9.693999999999999,10.912
AC019257.9,0.015,0.0
AMER3,0.0,0.0
MIR548AA1,0.0,0.0
AC116049.2,0.0,0.0
RPP38,8.448,8.842
NRG1,0.93,0.8909999999999999
PLEKHO1,2.864,3.287
AC007494.1,0.0,0.0
AL022237.1,0.0,0.0
MYO5B,0.5589999999999999,0.728
PABPC1,616.974,626.515
DISC1,0.08,0.096
SLC1A2,0.0,0.0
AC244517.6,0.07,0.111
AC093567.1,0.35100000000000003,0.267
FGFR4,2.2840000000000003,2.09
AL022334.1,0.102,0.0
AP001330.5,0.321,0.455
AL023803.3,0.337,0.179
MIR3196,0.0,0.0
RN7SL192P,1.0290000000000001,0.156
PECAM1,0.006,0.006
DEPDC1,27.593000000000004,28.866
MAS1,0.0,0.0
MRPL55,7.48,8.107000000000001
AC010255.1,0.0,0.0
AC114763.1,0.536,0.534
ZNF132,0.153,0.122
MYPOP,2.6660000000000004,2.614
STEAP2-AS1,0.0,0.0
RPL12P17,0.08800000000000001,0.0
ADH5,31.176,32.256
SNX19,7.892,7.359
SETP16,0.0,0.0
RF00322,0.0,0.0
LINC01448,0.15,0.12
BAHCC1,2.136,2.197
TMEM106C,42.277,42.288999999999994
PRDX3P1,0.115,0.061
RNU6-287P,0.0,0.0
RNU6-1241P,0.0,0.0
LINC02397,0.0,0.0
AC012368.1,0.0,0.0
PRDM8,6.207000000000001,5.36
UTRN,21.212,21.53
LINC01342,0.0,0.0
AP000813.1,0.0,0.0
PACRG,0.0,0.018000000000000002
CDC20P1,17.461,16.427
AC091868.1,0.0,0.0
AC008581.1,0.0,0.0
TUSC1,0.021,0.023
HAUS1,23.373,23.256
MIP,0.0,0.026000000000000002
TPSAB1,0.0,0.0
AC048344.4,8.422,6.831
AC068647.2,0.0,0.0
PDIA3P1,5.361000000000001,4.966
AL390955.1,0.0,0.0
ATP6V1H,12.993,13.072000000000001
AC021766.1,0.0,0.0
EDARADD,0.40299999999999997,0.311
AL137246.1,0.0,0.0
AC133565.1,0.0,0.0
BX649632.1,0.0,0.096
OSBPL8,18.59,19.448
AL122035.2,0.047,0.05
EEF1GP5,0.034,0.036000000000000004
AC010531.7,0.0,0.0
AC009812.1,2.011,1.5659999999999998
TTC16,0.006999999999999999,0.015
AC012513.3,3.51,3.535
AC244502.2,0.0,0.0
TTF1,13.587,14.120999999999999
STK3,2.915,2.938
LINC00052,0.0,0.0
SETDB1,6.678999999999999,6.704
AC069549.1,0.0,0.0
AC016582.2,3.7439999999999998,3.918
AC134349.2,0.048,0.257
AC009411.2,0.0,0.0
RF00019,0.0,0.0
GYS2,0.013999999999999999,0.022000000000000002
AL160286.3,0.0,0.0
DENND1A,3.497,3.56
LINC01608,9.058,9.761000000000001
TRBV9,0.0,0.0
LAMP5,0.0,0.0
AL139424.3,0.0,0.0
LINC02272,0.0,0.0
NMB,12.513,11.482999999999999
XKRX,0.013000000000000001,0.0
ERGIC1,7.175,7.263999999999999
HLA-A,64.257,62.473
CNFN,1.864,1.754
RNU7-195P,0.0,0.0
RNU105B,0.0,0.0
AC239859.6,2.476,1.0979999999999999
MTND1P32,0.0,0.0
AL035250.1,0.0,0.0
AC015802.1,0.0,0.0
AC137723.1,0.11,0.235
COPE,43.839,42.37
RF00019,0.0,0.0
LINC02299,0.0,0.0
ASCL2,0.0,0.0
NUPL2,5.452999999999999,5.544
AC093668.1,0.514,0.5589999999999999
AC007842.1,1.272,1.147
AC084364.2,0.0,0.0
MIR645,0.0,0.0
AL137220.1,0.0,0.0
RF00019,0.0,0.0
TENT2,4.436,4.888999999999999
RSPH3,3.778,3.991
AC096751.2,0.0,0.0
TGIF2P1,0.0,0.068
RF00019,0.0,0.0
SP8,0.071,0.05
RBL2,6.391,6.42
MIR590,2.718,2.892
TP53TG5,0.044000000000000004,0.047
AC012447.1,1.611,0.8909999999999999
MAGEA8-AS1,0.0,0.0
RF00019,0.0,0.0
AKTIP,1.514,1.575
COQ10A,3.306,3.446
ZNF502,0.0,0.0
NUDT19P5,0.0,0.0
WDTC1,6.922000000000001,7.245
AC108112.1,0.0,0.0
PANK4,6.813,6.754
LGALSL,1.933,2.104
RPL36P4,0.0,0.0
AL121820.2,0.0,0.0
AC026412.2,0.531,0.9570000000000001
RARRES2P11,0.0,0.0
AHNAK,63.346000000000004,65.137
AC091152.4,0.08199999999999999,0.081
COX6B1,181.59,169.83599999999998
AL441883.1,2.019,1.79
AL109767.1,0.0,0.0
AL031659.1,0.0,0.0
P3H2,7.01,6.737
RN7SKP276,0.0,0.349
CEBPA,0.524,0.395
ZNF22,10.970999999999998,11.539000000000001
PDE11A,0.004,0.008
NDUFB4P9,0.0,0.0
TLN1,54.494,55.912
ELMO3,2.15,2.015
ADD3-AS1,0.01,0.01
SULT1E1,0.07400000000000001,0.09
UGDH,25.614,25.475
DPM3,23.386,20.747
MOB4,9.357999999999999,9.61
LINC01124,0.021,0.11
AL590666.4,0.0,0.0
AC073091.2,0.0,0.0
AC107959.2,0.0,0.018000000000000002
RPL9,104.536,100.931
AVIL,0.21600000000000003,0.20600000000000002
AC207130.1,0.019,0.0
TEX54,0.045,0.0
RNU1-72P,0.287,0.0
OR2M4,0.0,0.016
TMEM43,31.895,31.415
AC008280.1,0.0,0.113
PCSK6,0.251,0.254
AC115284.1,7.726,7.5360000000000005
LINC02000,0.0,0.0
EID2,30.592,32.692
ELL,6.093999999999999,5.932
CDAN1,6.211,6.231
STAU2-AS1,0.0,0.0
PLSCR4,0.19699999999999998,0.155
ATP5MC2P1,0.10300000000000001,0.11
CTR9,15.507,15.574000000000002
MRPS33P3,0.136,0.0
AC091860.1,0.0,0.0
SLC51A,0.0,0.009000000000000001
LINC00851,0.0,0.0
RNU1-87P,0.0,0.0
OGDHL,0.361,0.35100000000000003
CCR5,0.0,0.0
ZNF426-DT,0.35600000000000004,0.486
AC093495.1,0.0,0.047
TERF2IP,39.204,40.677
TMPO-AS1,3.8489999999999998,4.15
FAM90A27P,0.0,0.0
MT1HL1,0.0,0.0
MIR26A2,0.0,1.113
AL583722.1,0.034,0.036000000000000004
DHRS4L2,0.7340000000000001,0.743
BCL10,6.0,6.176
AP003108.2,1.399,1.4480000000000002
RF00012,0.0,0.0
RPS12P18,0.163,0.0
AC010186.1,0.083,0.08800000000000001
LINC01731,0.105,0.111
STAG3,14.190999999999999,13.440999999999999
MTMR7,0.019,0.013000000000000001
LINC02273,0.0,0.0
EGFEM1P,0.057,0.1
KRT18P12,0.138,0.037000000000000005
FAM220A,4.802,4.64
TM9SF1,5.632999999999999,6.046
ITGB3,0.59,0.505
AC109492.1,0.0,0.0
AC034231.1,0.9,0.522
AL596223.1,0.0,0.0
ERRFI1,235.49400000000003,237.951
TMEM198,0.528,0.653
KNSTRN,31.234,33.077
RNH1,26.526,25.578000000000003
SNORD58B,122.184,108.86200000000001
AP000350.1,0.0,0.0
RPL35P4,0.0,0.0
AC090615.1,0.0,0.0
AC092112.1,0.069,0.0
TPD52,19.958,19.062
